nomes,npts,nout,minlm,mincga,medlm,medcga,maxlm,maxcga
sphere2D_-0.3_-35.5_150.0_412.csv,1006,412,0.0115474,0.0062203,0.0123677,0.0064562,0.0274132,0.0203575
sphere2D_-1.2_8.9_21.0_521.csv,1273,521,0.0194961,0.0075944,0.02442255,0.0078756,0.0637063,0.0223678
sphere2D_-12.3_-46.7_124.0_1546.csv,3772,1546,0.0918986,0.0619389,0.104855,0.0627854,0.1519332,0.0738342
sphere2D_-12.8_5.6_88.0_743.csv,1813,743,0.026462,0.0139975,0.03219005,0.0143497,0.0670011,0.0247199
sphere2D_-13.3_-28.5_67.0_203.csv,496,203,0.007364,0.0017693,0.0078556,0.0018071,0.0429072,0.0125485
sphere2D_-13.4_-25.5_38.0_2244.csv,5474,2244,0.2009295,0.1398663,0.2099273,0.1411046,0.2846292,0.1571952
sphere2D_-13.6_-0.3_170.0_1334.csv,3256,1334,0.0635692,0.0416001,0.0653673,0.04201175,0.1036403,0.0509456
sphere2D_-14.4_10.9_104.0_2051.csv,5004,2051,0.145706,0.1099522,0.1600274,0.1109039,0.1981637,0.1198656
sphere2D_-14.9_45.4_196.0_2207.csv,5384,2207,0.1748426,0.2151342,0.1906077,0.2170775,0.2250252,0.2343739
sphere2D_-16.0_-7.2_111.0_1839.csv,4487,1839,0.1066057,0.1104456,0.1188475,0.1114585,0.1604384,0.1215778
sphere2D_-16.1_51.1_104.0_1077.csv,2627,1077,0.0653532,0.034402,0.07262,0.0347537,0.1065636,0.0437353
sphere2D_-17.6_-22.4_92.0_1135.csv,2770,1135,0.0476899,0.0293015,0.0533899,0.0295915,0.0888097,0.0411364
sphere2D_-17.7_-36.5_83.0_1144.csv,2792,1144,0.0572542,0.0297844,0.0652105,0.0300532,0.0999616,0.0426793
sphere2D_-2.2_37.0_55.0_271.csv,662,271,0.0102062,0.003008,0.0109365,0.0030705,0.0454653,0.0133821
sphere2D_-22.2_-39.6_133.0_174.csv,425,174,0.0045887,0.0011966,0.0049502,0.0012239,0.0284867,0.0126309
sphere2D_-23.2_33.3_101.0_1134.csv,2766,1134,0.0603717,0.031664,0.0618858,0.0320457,0.1036756,0.0430352
sphere2D_-23.3_-14.4_190.0_2063.csv,5034,2063,0.1323038,0.0970018,0.1464962,0.0976971,0.177916,0.1069975
sphere2D_-26.3_51.7_130.0_1754.csv,4280,1754,0.1267436,0.1290491,0.1416398,0.13073395,0.1892876,0.1457955
sphere2D_-27.1_43.1_149.0_1168.csv,2850,1168,0.0634056,0.0340722,0.069685,0.0347567,0.0989688,0.0451222
sphere2D_-27.2_-16.4_86.0_203.csv,496,203,0.0063442,0.0017622,0.00676835,0.0018068,0.0295825,0.0110917
sphere2D_-27.4_5.9_190.0_1177.csv,2871,1177,0.0520954,0.0323371,0.0592595,0.03257335,0.0927683,0.0413711
sphere2D_-27.8_30.4_191.0_295.csv,720,295,0.0079384,0.0032134,0.0084753,0.0032678,0.0335178,0.0119261
sphere2D_-29.3_-41.1_183.0_1305.csv,3185,1305,0.0591989,0.0903112,0.0632577,0.09137135,0.1018537,0.1077491
sphere2D_-3.0_54.8_51.0_1804.csv,4401,1804,0.162188,0.1367748,0.1725942,0.1376094,0.2321148,0.28025
sphere2D_-3.6_23.1_117.0_1093.csv,2667,1093,0.0478993,0.0382934,0.05383375,0.03899635,0.0897055,0.0520142
sphere2D_-3.9_-41.5_68.0_305.csv,745,305,0.0096725,0.0034966,0.0103489,0.003563,0.031848,0.0149744
sphere2D_-30.0_27.8_75.0_1062.csv,2591,1062,0.0538077,0.0320109,0.0605693,0.0323069,0.1005133,0.044716
sphere2D_-30.1_-34.5_53.0_2109.csv,5144,2109,0.1841725,0.1290838,0.2014233,0.1303136,0.2355953,0.1424033
sphere2D_-31.8_-55.8_95.0_817.csv,1994,817,0.0400738,0.0187426,0.04848,0.0191172,0.092376,0.0303042
sphere2D_-32.1_3.2_133.0_707.csv,1725,707,0.0286631,0.0123784,0.0335127,0.01253,0.0735796,0.0226189
sphere2D_-33.4_15.5_39.0_51.csv,126,51,0.0025545,0.0004093,0.0035629,0.0004213,0.0414386,0.0090257
sphere2D_-33.6_-32.4_96.0_444.csv,1084,444,0.0127346,0.0053879,0.0134962,0.0054826,0.0347532,0.0165547
sphere2D_-33.9_-3.4_123.0_1045.csv,2551,1045,0.0426489,0.029641,0.0488396,0.0303637,0.0868016,0.0406638
sphere2D_-34.2_-28.9_48.0_1245.csv,3037,1245,0.0775061,0.0504193,0.08877395,0.05119695,0.1242813,0.0625001
sphere2D_-34.4_42.6_82.0_1406.csv,3430,1406,0.0985602,0.0722307,0.11365835,0.0727878,0.4362592,0.0884311
sphere2D_-35.3_-28.1_29.0_2118.csv,5168,2118,0.2213938,0.1549279,0.2435525,0.15582665,0.288237,0.1654858
sphere2D_-35.9_19.0_129.0_1976.csv,4821,1976,0.1542242,0.1098253,0.1709451,0.11515525,0.2216856,0.1238109
sphere2D_-35.9_40.6_124.0_1171.csv,2857,1171,0.0635403,0.0389935,0.071007,0.0393584,0.1101925,0.0509501
sphere2D_-37.1_53.7_38.0_272.csv,664,272,0.0102791,0.0035844,0.0109952,0.0036535,0.0346586,0.0144824
sphere2D_-37.7_41.7_176.0_1315.csv,3208,1315,0.0773224,0.055369,0.08395025,0.0559471,0.1240411,0.0666174
sphere2D_-38.2_26.3_42.0_2088.csv,5095,2088,0.2047251,0.1409481,0.2243894,0.1415826,0.2579905,0.1555909
sphere2D_-42.7_-37.5_127.0_1209.csv,2951,1209,0.0629942,0.0334924,0.0689145,0.0338315,0.1089315,0.0424504
sphere2D_-5.4_45.2_131.0_2363.csv,5765,2363,0.2479306,0.3066838,0.2666514,0.3075736,0.3160943,0.3173857
sphere2D_-51.3_41.3_82.0_1829.csv,4462,1829,0.1548609,0.1036464,0.1734699,0.10446195,0.2248046,0.1133431
sphere2D_-52.5_59.5_77.0_589.csv,1438,589,0.0267247,0.0109427,0.0332072,0.0110406,0.0806662,0.0202835
sphere2D_-52.6_-13.0_96.0_1313.csv,3204,1313,0.0735222,0.0482953,0.080844,0.0488512,0.1214238,0.0586845
sphere2D_-52.6_-42.7_147.0_2322.csv,5664,2322,0.1945763,0.1836846,0.21295015,0.1848718,0.2532272,0.1934653
sphere2D_-54.2_54.4_191.0_1195.csv,2915,1195,0.065933,0.0495479,0.06811805,0.0500422,0.1155841,0.0593044
sphere2D_-55.3_49.6_83.0_939.csv,2292,939,0.0516974,0.0414032,0.0609006,0.04181205,0.1011135,0.0522418
sphere2D_-56.6_-28.8_165.0_1034.csv,2523,1034,0.0502686,0.0363808,0.059067,0.03672795,0.1001646,0.0459335
sphere2D_-56.9_16.4_68.0_645.csv,1575,645,0.0298349,0.0126107,0.0368277,0.0127582,0.0898895,0.0218112
sphere2D_-57.5_-19.2_61.0_2189.csv,5341,2189,0.2059883,0.1672718,0.2239299,0.1683742,0.267027,0.1788341
sphere2D_-58.4_22.8_134.0_1617.csv,3945,1617,0.1046847,0.140417,0.11771635,0.1414267,0.1842423,0.1544188
sphere2D_-59.5_-24.6_166.0_763.csv,1862,763,0.0315887,0.01419,0.0385249,0.01435265,0.0891568,0.0242944
sphere2D_-9.4_7.7_26.0_214.csv,523,214,0.00566,0.0016355,0.0060601,0.0016727,0.036476,0.0134212
sphere2D_0.3_-18.3_181.0_1061.csv,2588,1061,0.0424394,0.0296548,0.0499167,0.02984925,0.0946263,0.0394827
sphere2D_12.1_-54.3_132.0_2229.csv,5438,2229,0.1709452,0.125833,0.1880004,0.1266012,0.2392752,0.1358617
sphere2D_12.6_-28.2_38.0_2224.csv,5426,2224,0.1920081,0.1493839,0.21320045,0.1503376,0.2605323,0.1595713
sphere2D_21.5_-12.2_72.0_1070.csv,2610,1070,0.0435141,0.0261868,0.0488153,0.0264377,0.0956758,0.0355959
sphere2D_21.8_29.1_5.0_448.csv,1094,448,0.0128845,0.0084578,0.01362605,0.00853205,0.0434426,0.0231561
sphere2D_21.9_-4.9_105.0_1543.csv,3764,1543,0.0792213,0.0625186,0.1002135,0.0630151,0.2072496,0.0724567
sphere2D_22.3_16.7_192.0_528.csv,1290,528,0.0163436,0.0085002,0.02091,0.0086252,0.0771933,0.0180705
sphere2D_24.5_7.8_51.0_2070.csv,5049,2070,0.1704021,0.128141,0.18799645,0.1293667,0.2465416,0.1451952
sphere2D_24.8_43.2_71.0_1572.csv,3836,1572,0.1203255,0.072819,0.13663635,0.073338,0.1923589,0.0826859
sphere2D_26.0_-6.0_60.0_2145.csv,5233,2145,0.1700777,0.1264592,0.1914355,0.12750755,0.243752,0.1412691
sphere2D_27.9_-1.9_89.0_2173.csv,5302,2173,0.1757668,0.1312858,0.1941095,0.13363335,0.2354004,0.1454105
sphere2D_28.6_15.7_156.0_1687.csv,4115,1687,0.1128907,0.0702534,0.1280362,0.0709159,0.1919265,0.0807037
sphere2D_29.1_19.5_28.0_273.csv,668,273,0.0102853,0.0030863,0.0111055,0.00315675,0.0585085,0.0135757
sphere2D_29.9_-14.9_179.0_55.csv,135,55,0.0016646,0.0002833,0.00230565,0.0002913,0.0484643,0.008903
