nome,npts,nout,minlm,mincga,medlm,medcga,maxlm,maxcga
sphere2D_10.1_2.8_121.0_408.csv,4088,408,0.0928627,0.1104404,0.1069086,0.1110625,0.1313636,0.1294437
sphere2D_13.1_-58.6_155.0_139.csv,1399,139,0.01878,0.007528,0.02398345,0.00759105,0.05096,0.0226876
sphere2D_13.6_54.4_50.0_592.csv,5923,592,0.1717611,0.1451963,0.1872922,0.1457625,0.2118051,0.156152
sphere2D_14.2_-17.3_157.0_594.csv,5949,594,0.1739427,0.2941666,0.1913269,0.2947838,0.2065743,0.3049496
sphere2D_14.9_-7.8_50.0_175.csv,1751,175,0.0262612,0.011811,0.0319695,0.0119198,0.0578682,0.0224397
sphere2D_15.2_-27.3_160.0_144.csv,1446,144,0.0199527,0.0080621,0.0253331,0.0081378,0.0528221,0.0189689
sphere2D_15.6_-19.9_156.0_161.csv,1617,161,0.0230236,0.0132176,0.0288818,0.01361475,0.0551897,0.0285066
sphere2D_16.5_-3.5_109.0_16.csv,166,16,0.0015134,0.000242,0.001872,0.0002494,0.0187514,0.0105954
sphere2D_2.3_-58.5_93.0_259.csv,2593,259,0.0556308,0.0387853,0.0682708,0.039068,0.1138651,0.0532624
sphere2D_20.1_-56.3_70.0_75.csv,752,75,0.0088826,0.0027479,0.01207755,0.0027807,0.0324886,0.0189291
sphere2D_20.9_36.6_5.0_413.csv,4133,413,0.0996056,0.3346725,0.1121402,0.3356395,0.136435,0.346326
sphere2D_21.2_-12.1_185.0_179.csv,1791,179,0.0265983,0.0118508,0.03324525,0.0119383,0.0574584,0.0225099
sphere2D_21.8_-8.2_41.0_332.csv,3322,332,0.0658093,0.0474181,0.077422,0.0476983,0.112242,0.0580733
sphere2D_22.3_25.1_139.0_257.csv,2572,257,0.0467396,0.0254206,0.0562196,0.02561125,0.1005631,0.0352413
sphere2D_22.3_43.2_141.0_103.csv,1031,103,0.0134566,0.0047376,0.0176064,0.0047899,0.0462978,0.015573
sphere2D_22.4_-49.8_65.0_253.csv,2531,253,0.0430794,0.0319492,0.0525761,0.03212825,0.0953856,0.0425572
sphere2D_24.4_22.3_58.0_236.csv,2367,236,0.0407603,0.0207004,0.0509692,0.0208808,0.1016009,0.0315164
sphere2D_24.9_54.7_81.0_145.csv,1450,145,0.0206832,0.0085178,0.02647235,0.00866555,0.0537256,0.024358
sphere2D_25.9_-23.6_25.0_575.csv,5757,575,0.1578662,0.1204698,0.1766904,0.12105675,0.2115089,0.1315433
sphere2D_31.0_-24.2_23.0_119.csv,1192,119,0.0156581,0.0073701,0.02033925,0.0074239,0.0505542,0.0232041
sphere2D_33.1_51.2_176.0_67.csv,675,67,0.0079356,0.0031156,0.0085459,0.003165,0.0405456,0.0185142
sphere2D_34.9_2.4_145.0_433.csv,4332,433,0.1024294,0.1490061,0.116556,0.14976305,0.1510129,0.161697
sphere2D_35.1_9.6_26.0_533.csv,5332,533,0.1449878,0.1599985,0.16192975,0.160908,0.1885487,0.1723169
sphere2D_36.1_-49.2_35.0_186.csv,1867,186,0.0281495,0.0148288,0.0341806,0.01493115,0.0675644,0.0256243
sphere2D_36.9_42.7_146.0_494.csv,4944,494,0.1350473,0.0903391,0.1516649,0.0909212,0.1797654,0.102476
sphere2D_37.1_-4.1_48.0_174.csv,1741,174,0.026059,0.0146887,0.03246665,0.0148319,0.0618113,0.0261823
sphere2D_39.1_26.4_112.0_264.csv,2645,264,0.0488192,0.0341128,0.0578633,0.0343622,0.1132664,0.0510276
sphere2D_39.4_46.9_15.0_190.csv,1905,190,0.0369628,0.0213722,0.04578645,0.021494,0.0780839,0.0328838
sphere2D_40.4_-6.7_192.0_541.csv,5418,541,0.1495038,0.2299662,0.1672918,0.2309365,0.1973028,0.2440365
sphere2D_41.3_12.9_113.0_275.csv,2750,275,0.0505533,0.0284671,0.0622613,0.0287285,0.140267,0.0405896
sphere2D_42.0_34.1_93.0_233.csv,2339,233,0.0392079,0.0404769,0.0480538,0.0407064,0.1091236,0.0514415
sphere2D_44.3_-15.5_40.0_529.csv,5294,529,0.1733879,0.1210438,0.19816715,0.1226725,0.2524992,0.1377189
sphere2D_44.5_-16.0_39.0_549.csv,5491,549,0.1909515,0.1387115,0.2116826,0.13932645,0.2409722,0.1506073
sphere2D_45.1_48.5_64.0_16.csv,162,16,0.0014646,0.0002418,0.001896,0.0002495,0.030708,0.0117108
sphere2D_46.0_-38.5_137.0_198.csv,1982,198,0.0306126,0.0145054,0.0381692,0.01466955,0.0831324,0.0259039
sphere2D_47.2_-56.9_71.0_167.csv,1670,167,0.0243313,0.0169162,0.0306469,0.0170549,0.067557,0.0291832
sphere2D_47.5_47.6_102.0_576.csv,5766,576,0.1699634,0.1537998,0.1880208,0.1545366,0.2159904,0.1668094
