1,2,3,4,5,6
sphere3D_-0.9_-45.7_-24.4_153.0_234.csv,2343,234,0.0387972,0.0491605,0.4806823
sphere3D_-11.5_1.5_58.1_59.0_181.csv,1819,181,0.0289917,0.0364287,0.1718428
sphere3D_-11.9_13.9_-21.8_109.0_361.csv,3615,361,0.0749499,0.0904943,0.2524719
sphere3D_-14.4_-5.9_-12.8_85.0_99.csv,996,99,0.0128888,0.0179003,0.1531054
sphere3D_-15.0_34.3_-28.4_160.0_593.csv,5930,593,0.1692604,0.19125765,0.3178419
sphere3D_-15.8_-8.9_-26.4_180.0_589.csv,5897,589,0.1629252,0.1848598,0.2957647
sphere3D_-16.1_12.8_-11.0_155.0_186.csv,1863,186,0.0217109,0.02814695,0.1674536
sphere3D_-18.1_-47.6_-47.2_76.0_314.csv,3149,314,0.0751863,0.0927736,0.2943242
sphere3D_-18.2_-53.5_-51.9_129.0_189.csv,1895,189,0.0374452,0.0477139,0.1767296
sphere3D_-2.1_-43.8_26.5_69.0_264.csv,2641,264,0.0489245,0.0601932,0.3516762
sphere3D_-2.1_43.1_14.5_187.0_334.csv,3344,334,0.0691216,0.0829468,0.2665996
sphere3D_-20.6_-45.1_-40.3_16.0_197.csv,1975,197,0.022575,0.02730445,0.1643189
sphere3D_-20.8_-34.1_-26.4_197.0_249.csv,2494,249,0.0435838,0.0543886,0.3921475
sphere3D_-21.0_26.1_42.7_71.0_354.csv,3542,354,0.0748362,0.08950805,0.2746035
sphere3D_-21.4_35.5_20.7_200.0_462.csv,4625,462,0.119667,0.1384217,0.2477879
sphere3D_-21.5_35.2_46.9_89.0_260.csv,2603,260,0.0467275,0.0579711,0.2874744
sphere3D_-21.7_-37.3_27.4_22.0_51.csv,518,51,0.0073812,0.00916755,0.1150889
sphere3D_-24.2_-57.3_-46.2_29.0_165.csv,1657,165,0.0248708,0.0324677,0.1846713
sphere3D_-24.3_-11.7_2.5_12.0_570.csv,5701,570,0.1989681,0.22756185,0.3550665
