nomes,npts,nout,minlm,mincga,medlm,medcga,maxlm,maxcga
sphere3D_-59.7_46.9_-51.5_92.0_650.csv,1587,650,0.0311541,0.0167027,0.03920455,0.0170974,0.1026793,0.0697835
sphere3D_-7.5_2.2_32.0_64.0_2134.csv,5205,2134,0.1860241,0.1344948,0.206902,0.1353596,0.278324,0.137996
sphere3D_-8.3_59.8_-5.8_165.0_972.csv,2371,972,0.0399996,0.0233253,0.04768405,0.0237431,0.1088522,0.0702749
sphere3D_0.8_-44.4_45.2_165.0_2154.csv,5254,2154,0.188374,0.1423584,0.20721085,0.1435412,0.2736705,0.152847
sphere3D_10.1_5.6_4.2_149.0_1802.csv,4396,1802,0.1084367,0.1109883,0.12316025,0.1121223,0.1915461,0.1185364
sphere3D_10.7_-43.6_-38.2_74.0_822.csv,2005,822,0.0409364,0.0224177,0.0512427,0.0229733,0.1238766,0.0735421
sphere3D_11.0_38.3_50.5_9.0_915.csv,2233,915,0.0541741,0.3413544,0.06320615,0.3466161,0.1260438,0.3915073
sphere3D_12.2_2.6_-32.5_92.0_437.csv,1067,437,0.0150985,0.0060963,0.0201975,0.00639835,0.0866392,0.0798633
sphere3D_12.3_32.3_-41.2_167.0_1015.csv,2477,1015,0.0490738,0.0236247,0.0592022,0.0240937,0.1173764,0.0693237
sphere3D_15.2_56.1_-7.6_20.0_1908.csv,4654,1908,0.1883266,0.3037687,0.2129876,0.3051557,0.2937299,0.3093656
sphere3D_15.9_40.7_-50.3_8.0_31.csv,77,31,0.0003101,0.0001477,0.0004637,0.0001827,0.0491318,0.0547607
sphere3D_17.4_26.6_3.2_190.0_2365.csv,5770,2365,0.1854923,0.246239,0.2035964,0.2476855,0.2712797,0.2543572
sphere3D_18.1_0.4_30.0_86.0_1927.csv,4702,1927,0.1552498,0.1275987,0.1745243,0.1283563,0.2512101,0.133939
sphere3D_18.2_48.2_-40.6_107.0_489.csv,1193,489,0.0205515,0.007513,0.02683525,0.0077647,0.0921683,0.0611375
sphere3D_19.1_-6.0_-20.3_85.0_2202.csv,5371,2202,0.1672584,0.1268922,0.1883677,0.1277996,0.2639326,0.1385925
sphere3D_19.6_3.2_20.3_114.0_994.csv,2425,994,0.0419684,0.0285561,0.0499972,0.0290564,0.1079738,0.073859
sphere3D_20.0_23.1_44.1_129.0_462.csv,1127,462,0.0169011,0.0070952,0.02227715,0.00747405,0.0940312,0.0803299
sphere3D_20.1_-39.8_-52.2_190.0_244.csv,596,244,0.0064121,0.0031549,0.0073679,0.00335455,0.0509524,0.0532117
sphere3D_20.1_-51.8_14.9_61.0_2375.csv,5793,2375,0.2490048,0.1915556,0.2737326,0.1920214,0.3354202,0.1933071
sphere3D_20.2_48.5_59.3_96.0_35.csv,87,35,0.0015779,0.0002979,0.0023822,0.000357,0.0514939,0.0531096
sphere3D_22.1_-0.5_51.5_125.0_308.csv,753,308,0.0102311,0.003766,0.0116549,0.0038934,0.051902,0.0587012
sphere3D_22.6_35.8_-1.9_51.0_810.csv,1977,810,0.0359845,0.0194612,0.04499,0.02001755,0.1146982,0.089464
sphere3D_22.7_16.0_-38.9_131.0_1468.csv,3581,1468,0.0840978,0.1217983,0.0999533,0.1232259,0.2028263,0.1306542
sphere3D_23.9_-41.7_-29.4_9.0_1249.csv,3048,1249,0.0874331,0.5340995,0.1017527,0.53740825,0.1609239,0.5619036
sphere3D_24.2_-39.5_-15.8_138.0_1372.csv,3347,1372,0.0657009,0.0870216,0.07196265,0.0883909,0.1234962,0.133353
sphere3D_25.6_13.7_-8.8_177.0_1561.csv,3808,1561,0.0959488,0.089646,0.1118332,0.0905125,0.2101501,0.1019534
sphere3D_26.3_11.3_11.8_17.0_1914.csv,4669,1914,0.2477306,0.2762797,0.2793226,0.2772854,0.3659636,0.2790746
sphere3D_27.3_-59.4_-38.3_60.0_176.csv,430,176,0.0074426,0.0020096,0.00863415,0.0021522,0.0813345,0.0528796
sphere3D_27.3_20.3_-53.5_172.0_2183.csv,5326,2183,0.1704653,0.1906705,0.1910789,0.1923331,0.2449975,0.1935206
sphere3D_3.1_9.3_47.3_126.0_1985.csv,4842,1985,0.1666359,0.1236118,0.1824804,0.1244016,0.2562249,0.1251001
sphere3D_30.2_-26.8_-25.9_109.0_1998.csv,4875,1998,0.1412412,0.1877758,0.1605364,0.1888655,0.2329375,0.1980827
sphere3D_31.6_-54.2_49.7_22.0_1148.csv,2801,1148,0.0940243,0.0958987,0.10827965,0.0976537,0.1721385,0.1043852
sphere3D_33.0_9.9_30.1_180.0_2211.csv,5395,2211,0.1763733,0.2535102,0.19443585,0.2550299,0.268303,0.257357
sphere3D_34.1_11.2_-38.6_187.0_834.csv,2035,834,0.0310898,0.0241265,0.0375505,0.02457855,0.1005055,0.1088946
sphere3D_34.2_15.6_21.9_49.0_660.csv,1610,660,0.0369367,0.0182093,0.0463225,0.0190843,0.1166692,0.0712132
sphere3D_34.4_34.9_32.5_176.0_2129.csv,5193,2129,0.1542108,0.397289,0.1716221,0.4009859,0.251111,0.4173804
sphere3D_36.2_-55.9_1.1_88.0_2196.csv,5357,2196,0.1838762,0.1900388,0.2047483,0.1914723,0.2767447,0.1922321
sphere3D_37.4_-38.4_-36.5_76.0_1489.csv,3634,1489,0.1118552,0.074773,0.13255115,0.07573225,0.2515647,0.0803085
sphere3D_37.7_32.9_-50.8_169.0_257.csv,628,257,0.0081741,0.0026622,0.009222,0.00283545,0.0489399,0.0515422
sphere3D_39.3_-3.6_-56.7_48.0_699.csv,1707,699,0.0468102,0.0285866,0.0587954,0.0293787,0.1354982,0.0977209
sphere3D_4.5_7.0_-32.1_124.0_1709.csv,4169,1709,0.109015,0.1279818,0.12629055,0.1286289,0.2228055,0.1310775
sphere3D_4.8_-21.7_0.5_140.0_788.csv,1924,788,0.0284772,0.0151492,0.0355122,0.0155359,0.1115241,0.0847214
sphere3D_40.0_-22.2_25.8_170.0_180.csv,440,180,0.0057408,0.0016052,0.0065206,0.00170185,0.0518786,0.0531448
sphere3D_40.3_-10.3_32.6_136.0_159.csv,388,159,0.0050501,0.0013914,0.00653655,0.0015242,0.0406485,0.0494272
sphere3D_45.2_13.3_17.7_57.0_1528.csv,3729,1528,0.1332481,0.0926101,0.1542326,0.0932019,0.2718881,0.0977892
sphere3D_49.6_44.2_-11.4_59.0_1981.csv,4832,1981,0.1676144,0.1923536,0.1896787,0.19545905,0.2743405,0.1998452
sphere3D_50.7_-33.6_43.3_130.0_1873.csv,4570,1873,0.169767,0.1588377,0.19115975,0.1600185,0.2794777,0.1668632
sphere3D_51.1_-57.0_-15.0_168.0_568.csv,1386,568,0.0215796,0.0097191,0.0278194,0.01006615,0.1104089,0.0769548
sphere3D_51.5_-55.6_36.6_185.0_801.csv,1956,801,0.0299782,0.0207306,0.0374001,0.02108835,0.1129505,0.0728337
sphere3D_52.2_-14.9_-26.1_92.0_630.csv,1538,630,0.02432,0.0096437,0.0314482,0.0098638,0.1122151,0.06345
sphere3D_53.9_59.0_55.6_62.0_906.csv,2210,906,0.065833,0.0792234,0.07918395,0.08047125,0.1590828,0.1413826
sphere3D_54.6_-36.7_43.9_83.0_1541.csv,3759,1541,0.1313359,0.1172424,0.1525229,0.1186042,0.2814481,0.1207291
sphere3D_54.6_51.6_-48.9_11.0_2184.csv,5329,2184,0.2360032,2.3593805,0.2588524,2.3662493,0.3413909,2.373776
sphere3D_55.6_9.7_50.9_89.0_592.csv,1444,592,0.0313068,0.0199017,0.0400439,0.0203613,0.1215054,0.0748672
sphere3D_59.7_-40.4_-53.1_5.0_2058.csv,5020,2058,0.2585763,2.3539588,0.2888819,2.3587143,0.3881304,2.4038378
sphere3D_8.9_-27.4_-38.9_39.0_1364.csv,3328,1364,0.099377,0.0714383,0.11529945,0.0724334,0.1909879,0.0841292
