nomes,npts,nout,minlm,mincga,medlm,medcga,maxlm,maxcga
sphere2D_0.2_58.5_12.0_544.csv,2591,544,0.0618635,0.1104404,0.07710015,0.1110625,0.1631757,0.1294437
sphere2D_12.6_35.6_33.0_326.csv,1556,326,0.0263853,0.007528,0.0327243,0.00759105,0.0610783,0.0226876
sphere2D_12.8_22.3_155.0_1076.csv,5127,1076,0.1367021,0.1451963,0.1532159,0.1457625,0.1853603,0.156152
sphere2D_15.1_-59.4_20.0_372.csv,1773,372,0.0310846,0.2941666,0.0382046,0.2947838,0.0636125,0.3049496
sphere2D_15.9_-13.9_111.0_912.csv,4344,912,0.0927046,0.011811,0.1074835,0.0119198,0.1310667,0.0224397
sphere2D_16.3_37.4_56.0_473.csv,2257,473,0.0454148,0.0080621,0.0536477,0.0081378,0.0733227,0.0189689
sphere2D_17.6_-56.4_96.0_529.csv,2520,529,0.0491348,0.0132176,0.0566264,0.01361475,0.0872584,0.0285066
sphere2D_19.0_33.2_125.0_517.csv,2466,517,0.0413956,0.000242,0.04671565,0.0002494,0.0709442,0.0105954
sphere2D_19.9_11.6_46.0_567.csv,2703,567,0.047001,0.0387853,0.0560904,0.039068,0.1040208,0.0532624
sphere2D_22.5_32.4_66.0_730.csv,3477,730,0.0872008,0.0027479,0.1037401,0.0027807,0.130278,0.0189291
sphere2D_22.5_8.9_157.0_908.csv,4326,908,0.0984539,0.3346725,0.11225735,0.3356395,0.1369067,0.346326
sphere2D_24.0_3.8_144.0_519.csv,2472,519,0.0494626,0.0118508,0.05832205,0.0119383,0.0843623,0.0225099
sphere2D_25.6_-12.8_103.0_785.csv,3741,785,0.073514,0.0474181,0.0855166,0.0476983,0.1182961,0.0580733
sphere2D_26.9_-4.8_175.0_283.csv,1350,283,0.0171661,0.0254206,0.02173995,0.02561125,0.0486101,0.0352413
sphere2D_27.5_-37.6_161.0_605.csv,2883,605,0.0481878,0.0047376,0.0575428,0.0047899,0.090992,0.015573
sphere2D_27.8_-3.3_14.0_1025.csv,4883,1025,0.1459396,0.0319492,0.17035855,0.03212825,0.200505,0.0425572
sphere2D_28.0_-42.6_123.0_142.csv,677,142,0.0072617,0.0207004,0.00778605,0.0208808,0.0306065,0.0315164
sphere2D_29.1_-37.4_24.0_1094.csv,5213,1094,0.1706534,0.0085178,0.18203255,0.00866555,0.1979795,0.024358
sphere2D_29.9_-16.2_61.0_160.csv,766,160,0.0083139,0.1204698,0.0088531,0.12105675,0.0264474,0.1315433
sphere2D_3.0_-37.2_61.0_1166.csv,5557,1166,0.1683936,0.0073701,0.18881665,0.0074239,0.2300058,0.0232041
sphere2D_31.4_-30.6_85.0_817.csv,3891,817,0.0959695,0.0031156,0.1119597,0.003165,0.1421178,0.0185142
sphere2D_32.6_48.2_122.0_692.csv,3296,692,0.0793545,0.1490061,0.0941346,0.14976305,0.1320187,0.161697
sphere2D_33.3_-37.4_5.0_937.csv,4464,937,0.1047021,0.1599985,0.1178212,0.160908,0.1384994,0.1723169
sphere2D_35.6_44.8_36.0_678.csv,3229,678,0.0772121,0.0148288,0.0919837,0.01493115,0.1264229,0.0256243
sphere2D_36.4_-56.0_69.0_1179.csv,5618,1179,0.1759045,0.0903391,0.1930141,0.0909212,0.2411459,0.102476
sphere2D_37.3_-15.1_19.0_1185.csv,5645,1185,0.1867128,0.0146887,0.2108678,0.0148319,0.2400429,0.0261823
sphere2D_37.8_26.7_75.0_1035.csv,4932,1035,0.1526732,0.0341128,0.176212,0.0343622,0.2311399,0.0510276
sphere2D_37.9_-39.7_79.0_476.csv,2270,476,0.0432849,0.0213722,0.05049375,0.021494,0.0778393,0.0328838
sphere2D_4.3_52.0_112.0_532.csv,2538,532,0.0525591,0.2299662,0.0608469,0.2309365,0.1207653,0.2440365
sphere2D_4.9_-9.1_188.0_767.csv,3656,767,0.0694802,0.0284671,0.081005,0.0287285,0.1055334,0.0405896
sphere2D_44.7_25.9_8.0_799.csv,3809,799,0.0826533,0.0404769,0.0920002,0.0407064,0.146859,0.0514415
sphere2D_45.5_-4.7_85.0_919.csv,4378,919,0.1206677,0.1210438,0.1379912,0.1226725,0.1828383,0.1377189
sphere2D_46.5_-12.2_149.0_1258.csv,5991,1258,0.1653411,0.1387115,0.1863932,0.13932645,0.2113173,0.1506073
sphere2D_46.6_-19.0_95.0_686.csv,3270,686,0.0733205,0.0002418,0.0860071,0.0002495,0.1359224,0.0117108
sphere2D_47.7_33.0_44.0_151.csv,720,151,0.0098984,0.0145054,0.010731,0.01466955,0.0358056,0.0259039
sphere2D_48.2_-53.5_68.0_1136.csv,5412,1136,0.2000611,0.0169162,0.2232658,0.0170549,0.2601431,0.0291832
sphere2D_48.5_-6.7_141.0_854.csv,4067,854,0.0861262,0.1537998,0.0981596,0.1545366,0.142875,0.1668094
sphere2D_49.3_-39.7_66.0_643.csv,3062,643,0.0663666,0.0345363,0.07826705,0.03475755,0.1187545,0.045767
sphere2D_50.1_-40.7_172.0_410.csv,1957,410,0.0349801,0.051353,0.04264345,0.05182345,0.0877196,0.0661844
sphere2D_50.4_12.4_145.0_61.csv,295,61,0.0031308,0.1376413,0.0038143,0.13829835,0.0337626,0.1485735
sphere2D_51.8_36.3_112.0_1046.csv,4981,1046,0.1531119,0.0170386,0.1770887,0.0171766,0.2167568,0.0300428
sphere2D_52.5_43.2_162.0_917.csv,4369,917,0.1024577,0.0038006,0.11771255,0.0038443,0.1767355,0.016391
sphere2D_54.4_4.5_80.0_614.csv,2926,614,0.0646448,0.0268692,0.0768789,0.0270508,0.1377418,0.0381038
sphere2D_54.8_-2.5_185.0_989.csv,4714,989,0.1110137,0.0113845,0.12599655,0.01149,0.1649781,0.0259882
sphere2D_56.1_-48.4_18.0_898.csv,4280,898,0.1160909,0.1303658,0.1321723,0.13094365,0.1779859,0.1436274
sphere2D_59.1_53.1_188.0_568.csv,2706,568,0.046665,0.0283347,0.0554268,0.0285022,0.113849,0.0397756
sphere2D_6.1_-41.6_108.0_316.csv,1505,316,0.0193277,0.0142439,0.0241511,0.0143885,0.0573278,0.0295624
sphere2D_7.5_-50.2_64.0_1187.csv,5654,1187,0.1825335,0.1585311,0.20568215,0.15895355,0.2383545,0.1705415
sphere2D_7.9_42.1_191.0_1172.csv,5581,1172,0.1602107,0.0730067,0.1809119,0.0734238,0.2192154,0.0888096
sphere2D_8.4_47.4_45.0_929.csv,4426,929,0.1279225,0.0199828,0.1491758,0.02012205,0.1827516,0.0341853
sphere2D_9.2_-5.2_73.0_232.csv,1105,232,0.0129973,0.0841787,0.0168695,0.0876973,0.0687435,0.099693
sphere2D_9.3_54.6_75.0_315.csv,1503,315,0.0253699,0.0246275,0.0313808,0.0248254,0.071503,0.0396855
