1,2,3,4,5,6
sphere2D_-15.3_10.6_21.0_103.csv,1031,103,0.0109576,0.01134465,0.0282454
sphere2D_-18.1_89.2_48.0_94.csv,942,94,0.0067127,0.00693855,0.0225974
sphere2D_-19.9_-87.6_125.0_136.csv,1365,136,0.0159351,0.0164696,0.0322292
sphere2D_-2.8_71.4_78.0_157.csv,1574,157,0.0254607,0.0263994,0.0448501
sphere2D_-22.4_7.0_19.0_221.csv,2214,221,0.0611555,0.0641626,0.0824428
sphere2D_-23.3_-34.0_16.0_173.csv,1737,173,0.0361546,0.0373856,0.0585207
sphere2D_-24.4_-80.4_19.0_143.csv,1431,143,0.0223209,0.0229963,0.0419643
sphere2D_-31.3_-28.2_132.0_149.csv,1491,149,0.0234542,0.0244334,0.0435778
sphere2D_-31.8_67.2_15.0_267.csv,2676,267,0.1064257,0.1243887,0.1440444
sphere2D_-33.8_2.4_143.0_242.csv,2426,242,0.0377438,0.0428285,0.0625075
sphere2D_-34.9_29.7_88.0_151.csv,1510,151,0.0184904,0.0191836,0.037995
sphere2D_-36.1_43.7_60.0_275.csv,2754,275,0.0590771,0.06544685,0.0854545
sphere2D_-39.3_11.7_78.0_96.csv,960,96,0.0160769,0.0168659,0.0363568
sphere2D_-43.2_4.7_106.0_256.csv,2567,256,0.052653,0.0607632,0.0782356
sphere2D_-43.8_-62.8_55.0_139.csv,1398,139,0.0213913,0.0230119,0.043086
sphere2D_-43.8_44.5_60.0_255.csv,2550,255,0.0528655,0.0617586,0.0799407
sphere2D_-45.9_17.8_95.0_41.csv,417,41,0.0025681,0.0027005,0.0143076
sphere2D_-46.9_-67.2_97.0_110.csv,1106,110,0.0120898,0.0127683,0.0339301
sphere2D_-48.8_-57.1_136.0_33.csv,332,33,0.0030092,0.0031697,0.0151884
sphere2D_-48.9_-73.5_67.0_272.csv,2725,272,0.0585024,0.0676656,0.0885043
sphere2D_-51.5_-56.7_72.0_281.csv,2817,281,0.0621359,0.0717222,0.0923607
sphere2D_-52.5_27.0_147.0_125.csv,1250,125,0.0141422,0.01482015,0.0350536
sphere2D_-53.0_-11.2_98.0_35.csv,350,35,0.0031919,0.0033696,0.0199211
sphere2D_-54.5_-28.8_99.0_117.csv,1178,117,0.0171212,0.0178745,0.0389676
sphere2D_-56.8_41.7_88.0_151.csv,1514,151,0.0184353,0.0191432,0.0392098
sphere2D_-57.0_46.1_100.0_44.csv,440,44,0.0039955,0.0042162,0.0163482
sphere2D_-58.1_-74.7_150.0_180.csv,1802,180,0.0310308,0.0320231,0.0535926
sphere2D_-60.3_-11.2_53.0_136.csv,1366,136,0.0160973,0.01659005,0.0373594
sphere2D_-70.9_20.1_38.0_235.csv,2355,235,0.0458125,0.0543526,0.0850335
sphere2D_-74.2_-21.7_50.0_272.csv,2720,272,0.045461,0.0500035,0.0789546
sphere2D_-74.5_-89.9_23.0_205.csv,2057,205,0.0290799,0.0297495,0.0494119
sphere2D_-76.2_-24.0_98.0_241.csv,2416,241,0.0369928,0.04386005,0.0698126
sphere2D_-8.4_-3.4_121.0_120.csv,1205,120,0.0175216,0.0188083,0.0417232
sphere2D_-8.8_-35.5_19.0_107.csv,1078,107,0.0116978,0.0122439,0.0354899
sphere2D_-83.4_72.1_72.0_282.csv,2823,282,0.0756086,0.0878576,0.1154409
sphere2D_-85.5_32.1_148.0_23.csv,235,23,0.0027778,0.0029621,0.0149055
sphere2D_-87.1_-0.4_7.0_52.csv,528,52,0.007931,0.0083189,0.0200634
sphere2D_-88.6_-14.1_12.0_23.csv,231,23,0.0027193,0.0029058,0.0157558
