1,2,3,4,5,6
sphere2D_-15.3_10.6_21.0_103.csv,1031,103,0.0058732,0.0059267,0.0156197
sphere2D_-18.1_89.2_48.0_94.csv,942,94,0.0039544,0.00400045,0.013888
sphere2D_-19.9_-87.6_125.0_136.csv,1365,136,0.0097395,0.0098064,0.0189694
sphere2D_-2.8_71.4_78.0_157.csv,1574,157,0.0101434,0.01023355,0.0195691
sphere2D_-22.4_7.0_19.0_221.csv,2214,221,0.0341679,0.03435245,0.0434115
sphere2D_-23.3_-34.0_16.0_173.csv,1737,173,0.0153513,0.0155127,0.024877
sphere2D_-24.4_-80.4_19.0_143.csv,1431,143,0.0129329,0.0130329,0.0235705
sphere2D_-31.3_-28.2_132.0_149.csv,1491,149,0.0091116,0.0093077,0.0188565
sphere2D_-31.8_67.2_15.0_267.csv,2676,267,0.0422347,0.0426208,0.0555936
sphere2D_-33.8_2.4_143.0_242.csv,2426,242,0.0295844,0.0297914,0.0385549
sphere2D_-34.9_29.7_88.0_151.csv,1510,151,0.0118021,0.01204125,0.0215496
sphere2D_-36.1_43.7_60.0_275.csv,2754,275,0.0602608,0.0605024,0.0699594
sphere2D_-39.3_11.7_78.0_96.csv,960,96,0.0052235,0.0052795,0.0156135
sphere2D_-43.2_4.7_106.0_256.csv,2567,256,0.0324874,0.03277855,0.0458795
sphere2D_-43.8_-62.8_55.0_139.csv,1398,139,0.0101193,0.0102104,0.0197441
sphere2D_-43.8_44.5_60.0_255.csv,2550,255,0.0328969,0.0337984,0.0422649
sphere2D_-45.9_17.8_95.0_41.csv,417,41,0.000758,0.0007769,0.0109563
sphere2D_-46.9_-67.2_97.0_110.csv,1106,110,0.0067649,0.0068295,0.0220583
sphere2D_-48.8_-57.1_136.0_33.csv,332,33,0.000756,0.0007791,0.0114572
sphere2D_-48.9_-73.5_67.0_272.csv,2725,272,0.0368408,0.03711525,0.0475134
sphere2D_-51.5_-56.7_72.0_281.csv,2817,281,0.0398226,0.04006245,0.0497294
sphere2D_-52.5_27.0_147.0_125.csv,1250,125,0.0083319,0.0084431,0.0219084
sphere2D_-53.0_-11.2_98.0_35.csv,350,35,0.0008121,0.0008345,0.0113742
sphere2D_-54.5_-28.8_99.0_117.csv,1178,117,0.0075716,0.0076371,0.0168776
sphere2D_-56.8_41.7_88.0_151.csv,1514,151,0.0116326,0.0117281,0.0211154
sphere2D_-57.0_46.1_100.0_44.csv,440,44,0.0011534,0.0011803,0.0116376
sphere2D_-58.1_-74.7_150.0_180.csv,1802,180,0.0130515,0.013169,0.0226096
sphere2D_-60.3_-11.2_53.0_136.csv,1366,136,0.0097836,0.0098798,0.0223055
