name,npts,solution,resíduo algébrico,resíduo geométrico ,gradiente algébrico,gradiente geométrico
sphere2D_-0.4_92.1_6.0_0.csv,694,"[-0.5159566560129664, 92.04321054080184, 6.247142315571684]",109927.0323190186,560.6504528128495,[1.2178282261743334e-5 1.3664160327664376e-6 -9.630153954276466e-7],[-8.202146311489695 -16.922765243555524 110.67956685312274]
sphere2D_-1.0_92.1_97.0_0.csv,438,"[-1.0137845732263868, 92.20771519252983, 97.0039763006578]",1.7006290233551506e7,358.4984702143826,[4.0481691030436195e-6 5.3196146918566e-5 -1.0200861652265303e-5],[0.8503249268977136 0.541461765742203 4.65805062703879]
sphere2D_-1.2_63.9_144.0_0.csv,59,"[-1.2009076749316214, 64.13577204440942, 144.06463378590533]",4.733344230931358e6,48.12688496761217,[1.4808028936386108e-7 -1.4436113247029425e-6 -1.0712596122175455e-5],[0.27169348309885066 0.1834909431803294 0.39548877216498113]
sphere2D_-11.3_-64.3_8.0_0.csv,204,"[-11.294859925424344, -64.14879924464957, 8.07553786783553]",41862.550517248565,143.40230815753807,[-5.502539579538279e-8 1.3656850939014475e-7 1.750727847138478e-7],[-3.8592605510812534 4.587076573647778 20.940607881062732]
sphere2D_-11.7_-32.3_135.0_0.csv,876,"[-11.753133802014126, -32.31566188705685, 135.0747386387932]",6.4057031119862534e7,704.1150573827714,[-2.082000764858094e-5 5.4770417465377363e-5 -9.068374538401258e-5],[1.5941136379781502 -1.2260041520802145 6.502267969143929]
sphere2D_-12.1_81.8_148.0_0.csv,925,"[-12.06534922750188, 81.82236317050807, 147.99858574901765]",8.436943250219129e7,748.5836874630775,[4.999506734293391e-5 8.415282823759362e-5 -5.556233656989207e-5],[-1.8205726534661193 1.613829533630046 6.504635826997742]
sphere2D_-12.9_-4.1_42.0_0.csv,89,"[-12.97922489139838, -4.368602926353998, 42.02773386971002]",538809.0034280174,62.7108885403657,[-1.566568244015798e-7 -3.6461553776234723e-9 -4.819321475224569e-7],[-3.073780557054285 0.7701524244597456 1.790115832940188]
sphere2D_-13.2_12.1_137.0_0.csv,899,"[-13.198802872717955, 12.043416410445742, 136.97467957511554]",6.482623219409552e7,696.2827692584995,[-2.8205744456499815e-5 -6.193206854732125e-5 -0.0003449713985901326],[0.5160663501827933 -0.9305774540316176 6.306157773506925]
sphere2D_-14.1_-35.8_123.0_0.csv,623,"[-14.072121970991223, -35.79698358942009, 122.93565801726456]",3.806973473958932e7,502.16862400530465,[-1.0690419003367424e-5 2.01940819124502e-5 -0.00011246716894675046],[0.2083582467632359 -0.09288176625982182 5.119810916870421]
sphere2D_-16.2_-60.1_80.0_0.csv,720,"[-16.195590436279954, -60.04991968799079, 79.96959103849521]",1.778236844170247e7,558.9055582202861,[-1.4250836102291942e-6 -4.557725901577214e-6 -1.3107186532579362e-5],[-0.35136509504615887 3.084898516230401 8.6933580656179]
sphere2D_-16.7_18.1_78.0_0.csv,838,"[-16.70841149677619, 18.069252332316776, 78.0315438459561]",2.0308749994801354e7,658.339773420312,[-2.1309606381691992e-6 1.5190699969025445e-6 3.5629200283437967e-6],[0.003023729987752688 -0.558096117783478 10.692418893280461]
sphere2D_-16.8_70.0_69.0_0.csv,545,"[-16.907121469614054, 70.09169464785387, 68.95723396609206]",9.98083363387068e6,434.5408918323038,[2.6289868742424005e-5 -9.265276485592722e-6 -5.481602443069278e-6],[1.2277650422625712 -1.7926604749936585 7.592741414408181]
sphere2D_-17.9_68.5_148.0_0.csv,384,"[-17.88755438231629, 68.5854310792844, 147.91415041248834]",3.243970328108036e7,304.418196017255,[-3.5431585274636745e-5 1.3442766942262097e-5 -5.717447493225336e-6],[0.6455985307701502 0.035104591341537206 2.5040684782916287]
sphere2D_-18.8_-47.3_32.0_0.csv,447,"[-18.82500966916912, -47.28586000791397, 32.10312852006382]",2.0248274559257552e6,365.51880407616255,[1.4941048220862285e-6 3.707441589284599e-7 -9.459673719902639e-7],[-5.978903971274511 -3.0690128385311217 15.302012757141078]
sphere2D_-2.0_-66.1_131.0_0.csv,416,"[-1.9901897713552463, -66.14448319958176, 131.02950175012305]",2.7742151074869983e7,331.3307134617879,[3.526278305798769e-6 -3.2060446983450674e-5 -8.458402589894831e-6],[0.05097861640046286 -0.37606865203405077 3.0829110494393035]
sphere2D_-2.3_35.3_27.0_0.csv,787,"[-2.2411132800435776, 35.31150229118566, 26.992077873694804]",2.1637167052768325e6,607.4374402028693,[1.171519215859007e-6 1.8881917469570908e-6 -1.0458302313054446e-6],[5.52184767306242 0.5645464274536616 27.525963985518715]
