1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
sphere3D_-0.5_92.2_95.4_74.0_0.csv,296,9.346257735277294e7,5.497686771562526e7,5.497172296070601e7,1.0,5.898555664820572e6,3.9085850553791654e8,3.908357825119214e8,1.0,5.895812868132057e6,4.4095766509489083e8,4.409332217340734e8,1.0,5.899485405536565e6,3.4186998830369897e6,3.4184709487862936e6,1.0
sphere3D_-10.4_-92.6_-52.2_80.0_0.csv,981,2.625971448573246e7,2.5781743119594455e8,2.5779364757261774e8,1.0,2.5150404210358303e7,1.0525055351763055e9,1.0524363409506662e9,1.0,2.5163512071282405e7,7.75170219717829e8,7.751213721480354e8,1.0,2.5331238767140724e7,8.913538937033033e6,8.912888238406854e6,1.0
sphere3D_-11.8_-75.7_66.2_93.0_0.csv,394,1.3372138642117223e7,1.2862492377699858e8,1.286142539223793e8,1.0,1.2942512441393837e7,2.966748309561494e8,2.9665494263068384e8,1.0,1.2936391332416799e7,3.021302436811161e8,3.021074049600598e8,1.0,1.5505399386391835e7,3.816934768810456e6,3.816708806940751e6,1.0
sphere3D_-14.5_-42.7_87.6_135.0_0.csv,670,5.076270909701182e7,4.515338424822475e8,4.515095683170024e8,1.0,4.980389081979897e7,2.7468740838061875e8,2.7465097178482693e8,1.0,4.9609020245808445e7,1.2510939627120793e9,1.251040558738364e9,1.0,4.9865519276030354e7,9.637341790735897e6,9.63707718888636e6,1.0
sphere3D_-15.4_-38.1_56.2_129.0_0.csv,274,1.6428182922618184e7,1.446830434575019e8,1.4467379768888932e8,1.0,1.621247165515682e7,9.609540709934841e7,9.608057117549823e7,1.0,1.6151625690170683e7,2.578799516655522e8,2.578592199061441e8,1.0,1.6161271262831984e7,3.0610190565618863e6,3.0609400364975473e6,1.0
sphere3D_-16.6_87.8_20.3_18.0_0.csv,652,914086.5645429145,5.97142805932086e7,5.9701374557246484e7,1.0,898157.9457971831,2.5945533557282805e8,2.594000292869191e8,1.0,906135.3196598206,6.531998718917857e7,6.5307086903138354e7,1.0,900103.7784307752,2.887866436538716e6,2.8872374538866607e6,1.0
sphere3D_-17.2_-58.0_-56.2_147.0_0.csv,128,9.66363137180831e6,1.0082360724248236e8,1.0081869685730226e8,1.0,9.550314278321827e6,1.8778165072585636e8,1.8777474299746197e8,1.0,9.54102080702233e6,2.2414982395267403e8,2.2413965506564042e8,1.0,9.537950032599675e6,1.886394842608242e6,1.8863563458224074e6,1.0
sphere3D_-19.7_-89.8_-62.6_64.0_0.csv,198,3.1038862444611536e6,5.9151948182072245e7,5.9146323621522844e7,1.0,3.069596640868697e6,1.8196867705756462e8,1.8195406259849113e8,1.0,3.0696596130125094e6,1.4895616803943783e8,1.4894509482615286e8,1.0,3.074284939900681e6,1.6832416733703925e6,1.6830891684946173e6,1.0
sphere3D_-20.0_36.3_58.5_132.0_0.csv,623,4.24298284761687e7,3.986225711340735e8,3.9860047528421587e8,1.0,4.218462372789288e7,5.2531341842397195e8,5.252849197585761e8,1.0,4.198731999513451e7,8.483492749039032e8,8.483041269057583e8,1.0,4.197884901549269e7,7.379494240011818e6,7.379308877186474e6,1.0
sphere3D_-21.7_-24.9_-70.8_119.0_0.csv,97,5.211225297114263e6,5.452945303878205e7,5.452617470822631e7,1.0,5.222062922118583e6,5.831451259031148e7,5.831079452867653e7,1.0,5.163923209523268e6,1.3118543488136631e8,1.3117871592565614e8,1.0,5.1706835630848855e6,1.0370230616744476e6,1.0369875874241433e6,1.0
