1,2,3,4,5
sphere3D_-0.5_92.2_95.4_74.0_0.csv,296,"[-0.5, 92.2, 95.4, 74.0]",32734.706919837277,"[-0.5458039353537736, 91.76799670913762, 95.62977098926308, 74.00277018523268]"
sphere3D_-10.4_-92.6_-52.2_80.0_0.csv,981,"[-10.4, -92.6, -52.2, 80.0]",124434.37898899138,"[-10.404438587987638, -92.52964055656362, -52.29766759827712, 80.04099591810024]"
sphere3D_-11.8_-75.7_66.2_93.0_0.csv,394,"[-11.8, -75.7, 66.2, 93.0]",58045.197530676305,"[-11.611359991122313, -75.17974269725971, 66.00554106868442, 93.0652604176098]"
sphere3D_-14.5_-42.7_87.6_135.0_0.csv,670,"[-14.5, -42.7, 87.6, 135.0]",147702.18042080457,"[-14.449319553183276, -42.62679237528768, 87.61401958831244, 135.0145501150712]"
sphere3D_-15.4_-38.1_56.2_129.0_0.csv,274,"[-15.4, -38.1, 56.2, 129.0]",53845.95070181581,"[-15.390924328427904, -38.06034727094927, 56.30257910497157, 129.00485280518097]"
sphere3D_-16.6_87.8_20.3_18.0_0.csv,652,"[-16.6, 87.8, 20.3, 18.0]",19372.66785871932,"[-16.565219507197515, 87.84363568999646, 20.308306571885588, 18.100573154996827]"
sphere3D_-17.2_-58.0_-56.2_147.0_0.csv,128,"[-17.2, -58.0, -56.2, 147.0]",26859.363696764325,"[-17.433530990950874, -57.85748348171718, -56.36128418776815, 146.822397400388]"
sphere3D_-19.7_-89.8_-62.6_64.0_0.csv,198,"[-19.7, -89.8, -62.6, 64.0]",19971.362425155472,"[-19.592421543201578, -89.88644324159695, -62.624665367044734, 63.965811905723676]"
sphere3D_-20.0_36.3_58.5_132.0_0.csv,623,"[-20.0, 36.3, 58.5, 132.0]",128238.64175516661,"[-20.09375123651057, 36.36847233675006, 58.50728689040879, 131.9797837018934]"
sphere3D_-21.7_-24.9_-70.8_119.0_0.csv,97,"[-21.7, -24.9, -70.8, 119.0]",18246.30462582194,"[-21.605886509535917, -24.935734775603155, -70.76144039391428, 119.15536939787306]"
sphere3D_-23.9_-76.3_2.6_32.0_0.csv,50,"[-23.9, -76.3, 2.6, 32.0]",2421.8319198294594,"[-23.76035695349421, -75.71931727247507, 2.439965204360422, 32.08426125241094]"
sphere3D_-24.1_-6.4_-18.3_68.0_0.csv,504,"[-24.1, -6.4, -18.3, 68.0]",57502.46365199614,"[-24.235739159771807, -6.378605614781365, -18.376004116181065, 68.0091486571183]"
sphere3D_-26.6_-60.5_-75.3_27.0_0.csv,471,"[-26.6, -60.5, -75.3, 27.0]",20411.93546711579,"[-26.611246502623917, -60.49768691497553, -75.27849677544894, 27.02548139389315]"
sphere3D_-27.0_5.7_-31.5_43.0_0.csv,496,"[-27.0, 5.7, -31.5, 43.0]",33711.44209467798,"[-26.976408666537136, 5.727090812260175, -31.450197819068865, 43.02913383657841]"
sphere3D_-27.5_-38.7_97.6_110.0_0.csv,74,"[-27.5, -38.7, 97.6, 110.0]",10685.205640732616,"[-27.466528837354378, -38.90198811799189, 97.70604103984925, 110.04532573097039]"
sphere3D_-29.3_-7.9_-7.7_57.0_0.csv,618,"[-29.3, -7.9, -7.7, 57.0]",53308.73887598155,"[-29.338704090116053, -7.977976369477391, -7.5403724596428034, 56.98367212257759]"
sphere3D_-31.7_-57.1_-78.8_90.0_0.csv,572,"[-31.7, -57.1, -78.8, 90.0]",82330.21758621003,"[-31.752681279440704, -57.203099021101494, -78.70529137624287, 90.01516583940915]"
sphere3D_-32.0_88.6_-73.2_149.0_0.csv,564,"[-32.0, 88.6, -73.2, 149.0]",131775.97671360252,"[-32.00408121841363, 88.2898741661072, -73.07818555507602, 148.97746722063118]"
sphere3D_-32.8_-12.0_95.9_21.0_0.csv,983,"[-32.8, -12.0, 95.9, 21.0]",34435.2978516656,"[-32.942100047558874, -11.946336964307575, 95.76903326408244, 21.014965922326173]"
sphere3D_-33.8_-90.6_-69.2_39.0_0.csv,598,"[-33.8, -90.6, -69.2, 39.0]",38546.96293931261,"[-33.788293904727006, -90.68060569898434, -69.31393877783886, 39.026806807106354]"
sphere3D_-34.5_-37.6_93.5_23.0_0.csv,305,"[-34.5, -37.6, 93.5, 23.0]",10645.674080112869,"[-34.72169898011218, -37.661583034300605, 93.53478286554885, 23.0142468168375]"
sphere3D_-34.7_-27.7_52.9_37.0_0.csv,952,"[-34.7, -27.7, 52.9, 37.0]",57410.167609668264,"[-34.90385908319604, -27.80470390649286, 52.9875775243556, 36.981681437253]"
sphere3D_-35.3_-92.4_-81.0_52.0_0.csv,138,"[-35.3, -92.4, -81.0, 52.0]",10575.026908777469,"[-35.26384919955872, -92.26212729606252, -81.12626601857414, 51.974378487639136]"
sphere3D_-37.5_1.7_0.4_135.0_0.csv,176,"[-37.5, 1.7, 0.4, 135.0]",36551.767987165316,"[-37.4635454477165, 1.5697878501769786, 0.5469988876088981, 135.15701338734797]"
sphere3D_-38.5_50.2_-32.5_88.0_0.csv,224,"[-38.5, 50.2, -32.5, 88.0]",27899.75100796319,"[-38.45987324454054, 50.486767237160024, -32.66438427838296, 87.97079535805402]"
sphere3D_-39.5_64.7_-20.9_55.0_0.csv,431,"[-39.5, 64.7, -20.9, 55.0]",39238.64614285343,"[-39.600475216756095, 64.50798022693868, -20.809651106562107, 55.022814545891585]"
sphere3D_-39.9_-91.8_15.7_83.0_0.csv,343,"[-39.9, -91.8, 15.7, 83.0]",43996.734788484886,"[-39.89179018923881, -92.33525462433086, 16.007600042797016, 83.02858970338875]"
sphere3D_-4.0_-88.3_36.3_56.0_0.csv,196,"[-4.0, -88.3, 36.3, 56.0]",18370.352517433163,"[-3.9929433433527377, -88.49428271059769, 36.33163559390925, 56.098688590818924]"
sphere3D_-40.1_-6.9_37.7_8.0_0.csv,834,"[-40.1, -6.9, 37.7, 8.0]",10963.61568481733,"[-40.28390219443928, -6.865621938904362, 37.7034704162768, 8.174198233880636]"
sphere3D_-41.6_-61.5_-17.7_86.0_0.csv,548,"[-41.6, -61.5, -17.7, 86.0]",76258.1023572333,"[-41.63435995936446, -61.55804475496221, -17.78063196691292, 85.99813556227865]"
sphere3D_-42.5_-76.2_36.2_125.0_0.csv,35,"[-42.5, -76.2, 36.2, 125.0]",5405.865603948967,"[-42.087985939611585, -76.15128816056654, 36.08395220938576, 125.05445377280239]"
sphere3D_-42.5_-98.0_42.8_91.0_0.csv,514,"[-42.5, -98.0, 42.8, 91.0]",73634.8355232145,"[-42.441927568807756, -98.01845710066449, 42.80864962925266, 90.95224208797895]"
sphere3D_-42.8_-34.4_-20.5_16.0_0.csv,743,"[-42.8, -34.4, -20.5, 16.0]",20310.625666513122,"[-42.96630748428583, -34.391435568099894, -20.452312181465064, 16.09200509375408]"
sphere3D_-42.8_-96.0_12.3_86.0_0.csv,980,"[-42.8, -96.0, 12.3, 86.0]",140892.08812075734,"[-42.67044532956408, -96.04784598012161, 12.32832222159909, 86.04761083159633]"
sphere3D_-42.8_2.6_-49.1_110.0_0.csv,370,"[-42.8, 2.6, -49.1, 110.0]",65833.04117515712,"[-42.98156967251322, 2.4527792567159272, -48.96156449941465, 110.06850979737777]"
sphere3D_-43.4_58.1_47.2_132.0_0.csv,429,"[-43.4, 58.1, 47.2, 132.0]",87679.29306664695,"[-43.45187000264751, 58.2402797177561, 47.073930109401864, 131.9683444279413]"
sphere3D_-43.6_52.0_8.9_117.0_0.csv,35,"[-43.6, 52.0, 8.9, 117.0]",6838.543053341273,"[-43.67956278775824, 52.059599427861556, 8.769475511838648, 117.07329336168375]"
sphere3D_-46.2_73.9_68.3_131.0_0.csv,14,"[-46.2, 73.9, 68.3, 131.0]",2902.079127960049,"[-45.92577499024766, 74.49879836615415, 68.2368770598933, 131.115025644189]"
sphere3D_-46.5_44.8_-35.8_11.0_0.csv,717,"[-46.5, 44.8, -35.8, 11.0]",12375.138024803122,"[-46.616138499460305, 44.87777273876087, -35.67287868917557, 11.135404194980099]"
sphere3D_-47.0_-60.2_99.1_108.0_0.csv,784,"[-47.0, -60.2, 99.1, 108.0]",139387.1328117987,"[-47.03343320944178, -60.15017648151431, 99.15860262762395, 108.0236156706322]"
sphere3D_-47.2_62.6_46.2_127.0_0.csv,790,"[-47.2, 62.6, 46.2, 127.0]",156464.5527645013,"[-47.20084741435049, 62.737255372709946, 46.18304002564352, 127.01710125490128]"
sphere3D_-47.6_-32.1_89.1_93.0_0.csv,238,"[-47.6, -32.1, 89.1, 93.0]",36403.77143022749,"[-47.83493897733404, -32.070647540260424, 89.07644445861612, 92.94981277479613]"
sphere3D_-48.8_14.7_5.4_62.0_0.csv,305,"[-48.8, 14.7, 5.4, 62.0]",31812.513137749196,"[-49.05789700253974, 14.820045193797185, 5.37590082486097, 61.99399512062383]"
sphere3D_-5.5_68.2_46.7_100.0_0.csv,79,"[-5.5, 68.2, 46.7, 100.0]",12002.676581299655,"[-5.687026486947787, 68.32842493212803, 46.80081499014932, 100.11293489344818]"
sphere3D_-50.3_-36.7_61.7_83.0_0.csv,504,"[-50.3, -36.7, 61.7, 83.0]",68643.35877528327,"[-50.22585342213868, -36.571414308492606, 61.68894384773205, 82.98754610926747]"
