1,2,3
sphere3D_-0.5_92.2_95.4_74.0_0.csv,296,1.473372429107666e6
sphere3D_-10.4_-92.6_-52.2_80.0_0.csv,981,6.281758803771973e6
sphere3D_-11.8_-75.7_66.2_93.0_0.csv,394,3.2313239356689453e6
sphere3D_-14.5_-42.7_87.6_135.0_0.csv,670,1.2395753974884033e7
sphere3D_-15.4_-38.1_56.2_129.0_0.csv,274,4.0334506192703247e6
sphere3D_-16.6_87.8_20.3_18.0_0.csv,652,224301.23364830017
sphere3D_-17.2_-58.0_-56.2_147.0_0.csv,128,2.3827256375961304e6
sphere3D_-19.7_-89.8_-62.6_64.0_0.csv,198,766688.7222938538
sphere3D_-20.0_36.3_58.5_132.0_0.csv,623,1.0485049488388062e7
sphere3D_-21.7_-24.9_-70.8_119.0_0.csv,97,1.290043008424759e6
sphere3D_-23.9_-76.3_2.6_32.0_0.csv,50,43522.89873111248
sphere3D_-24.1_-6.4_-18.3_68.0_0.csv,504,2.606119315621376e6
sphere3D_-26.6_-60.5_-75.3_27.0_0.csv,471,345892.730594635
sphere3D_-27.0_5.7_-31.5_43.0_0.csv,496,894164.4556207657
sphere3D_-27.5_-38.7_97.6_110.0_0.csv,74,686807.5323677063
sphere3D_-29.3_-7.9_-7.7_57.0_0.csv,618,1.8232200839834213e6
sphere3D_-31.7_-57.1_-78.8_90.0_0.csv,572,4.637550443496704e6
sphere3D_-32.0_88.6_-73.2_149.0_0.csv,564,1.2425107100585938e7
sphere3D_-32.8_-12.0_95.9_21.0_0.csv,983,456368.4599914551
sphere3D_-33.8_-90.6_-69.2_39.0_0.csv,598,967081.6647567749
sphere3D_-34.5_-37.6_93.5_23.0_0.csv,305,154199.7988128662
sphere3D_-34.7_-27.7_52.9_37.0_0.csv,952,1.3200922490234375e6
sphere3D_-35.3_-92.4_-81.0_52.0_0.csv,138,329690.4903564453
sphere3D_-37.5_1.7_0.4_135.0_0.csv,176,2.972878984970093e6
sphere3D_-38.5_50.2_-32.5_88.0_0.csv,224,1.3431258017749786e6
sphere3D_-39.5_64.7_-20.9_55.0_0.csv,431,1.3852546704788208e6
sphere3D_-39.9_-91.8_15.7_83.0_0.csv,343,2.189489704936981e6
sphere3D_-4.0_-88.3_36.3_56.0_0.csv,196,670972.865781784
sphere3D_-40.1_-6.9_37.7_8.0_0.csv,834,56303.59852027893
sphere3D_-41.6_-61.5_-17.7_86.0_0.csv,548,4.0456854344787598e6
sphere3D_-42.5_-76.2_36.2_125.0_0.csv,35,358450.14772224426
sphere3D_-42.5_-98.0_42.8_91.0_0.csv,514,4.214019399215698e6
sphere3D_-42.8_-34.4_-20.5_16.0_0.csv,743,218150.69747114182
sphere3D_-42.8_-96.0_12.3_86.0_0.csv,980,8.005911008407593e6
sphere3D_-42.8_2.6_-49.1_110.0_0.csv,370,4.735383245109558e6
sphere3D_-43.4_58.1_47.2_132.0_0.csv,429,7.243480530441284e6
sphere3D_-43.6_52.0_8.9_117.0_0.csv,35,545046.8228635788
sphere3D_-46.2_73.9_68.3_131.0_0.csv,14,215487.76361846924
sphere3D_-46.5_44.8_-35.8_11.0_0.csv,717,85677.07999706268
sphere3D_-47.0_-60.2_99.1_108.0_0.csv,784,9.793091570495605e6
sphere3D_-47.2_62.6_46.2_127.0_0.csv,790,1.2671284710144043e7
sphere3D_-47.6_-32.1_89.1_93.0_0.csv,238,2.1622582177581787e6
sphere3D_-48.8_14.7_5.4_62.0_0.csv,305,1.3117302176885605e6
sphere3D_-5.5_68.2_46.7_100.0_0.csv,79,806437.2014465332
sphere3D_-50.3_-36.7_61.7_83.0_0.csv,504,3.570246482521057e6
sphere3D_-51.1_-13.6_-4.9_14.0_0.csv,790,156902.5049419403
