name,npts,centro e raio implementado,resíduo,sol
sphere3D_-51.1_-88.9_13.2_56.0_0.csv,292,"[-51.1, -88.9, 13.2, 56.0]",3.4068359358066046e6,"[-51.28518684156534, -89.20295915410097, 13.455969409234772, 55.91880055360149]"
sphere3D_-51.6_-50.7_47.6_23.0_0.csv,628,"[-51.6, -50.7, 47.6, 23.0]",1.292917971673965e6,"[-51.76710308090437, -51.0333637367903, 47.704459907040615, 23.039669825421758]"
sphere3D_-52.9_2.5_61.6_26.0_0.csv,166,"[-52.9, 2.5, 61.6, 26.0]",470024.6762954812,"[-53.18796425050489, 2.3172395326903494, 61.69375649500269, 25.90439938853422]"
sphere3D_-53.0_-17.6_62.9_45.0_0.csv,292,"[-53.0, -17.6, 62.9, 45.0]",2.5978153647503713e6,"[-52.96492545646073, -17.62485418732007, 62.86251978626871, 45.04368166986475]"
sphere3D_-53.2_76.2_43.1_12.0_0.csv,869,"[-53.2, 76.2, 43.1, 12.0]",514504.2133043157,"[-53.38042431157247, 76.36015480182876, 43.11390949407482, 12.044512900760779]"
sphere3D_-56.9_98.3_-43.6_146.0_0.csv,403,"[-56.9, 98.3, -43.6, 146.0]",3.80123945537115e7,"[-56.70193491504977, 98.11839883680372, -43.43202793430494, 146.1210417546287]"
sphere3D_-57.3_-58.2_-72.4_108.0_0.csv,588,"[-57.3, -58.2, -72.4, 108.0]",1.1172480617316544e8,"[-60.319543827098265, -59.42840734632942, -72.85503088081646, 106.62904736898874]"
sphere3D_-57.3_71.3_19.5_43.0_0.csv,526,"[-57.3, 71.3, 19.5, 43.0]",4.099742770315631e6,"[-57.36858953553224, 71.42301523914335, 19.475657048737624, 42.994191436105005]"
sphere3D_-57.4_-23.2_7.8_26.0_0.csv,790,"[-57.4, -23.2, 7.8, 26.0]",2.132085024884505e6,"[-57.56867743213769, -23.140694178469047, 7.668918157725959, 26.022504356318677]"
sphere3D_-57.9_-51.2_18.7_120.0_0.csv,240,"[-57.9, -51.2, 18.7, 120.0]",1.4506439989765154e7,"[-57.65748779364672, -51.154805011914426, 18.769657786610555, 120.04211828161537]"
sphere3D_-58.5_-74.9_44.0_16.0_0.csv,548,"[-58.5, -74.9, 44.0, 16.0]",555969.114100886,"[-58.67082967574937, -74.93814500504793, 43.853164066968844, 16.117074380392282]"
sphere3D_-58.9_-54.1_0.2_111.0_0.csv,494,"[-58.9, -54.1, 0.2, 111.0]",2.41105477117146e7,"[-58.77254120871121, -53.9772955683767, 0.10760624971890022, 110.99030567599755]"
sphere3D_-59.7_-7.7_7.3_29.0_0.csv,737,"[-59.7, -7.7, 7.3, 29.0]",2.506122782925468e6,"[-59.85572586940382, -7.994707474324872, 7.401521529045176, 28.963738111259147]"
sphere3D_-59.9_-27.4_-8.9_5.0_0.csv,719,"[-59.9, -27.4, -8.9, 5.0]",71167.38212145989,"[-60.11377881710292, -27.457661641368958, -8.819499304956025, 5.1844071754868155]"
sphere3D_-60.8_-99.3_76.8_98.0_0.csv,54,"[-60.8, -99.3, 76.8, 98.0]",2.1783643642428964e6,"[-60.969986167549045, -98.92404519894914, 76.81875565473342, 97.87446869635788]"
sphere3D_-60.9_-36.9_41.5_82.0_0.csv,185,"[-60.9, -36.9, 41.5, 82.0]",1.036438505837522e8,"[-67.59600878828473, -44.965251704396884, 46.89691770447073, 79.94353667482362]"
sphere3D_-62.9_3.6_28.5_91.0_0.csv,871,"[-62.9, 3.6, 28.5, 91.0]",3.0690132487806983e7,"[-62.64228842953321, 3.8582321560006916, 28.421926780366007, 91.12226900372467]"
sphere3D_-64.1_-88.1_-28.5_89.0_0.csv,567,"[-64.1, -88.1, -28.5, 89.0]",1.7199734656818062e7,"[-64.37261323635849, -88.14832452451762, -28.511247115526153, 88.91733569181177]"
sphere3D_-64.1_10.2_-3.7_142.0_0.csv,975,"[-64.1, 10.2, -3.7, 142.0]",8.002078793969652e7,"[-63.8884271663531, 10.105923097702588, -3.737049043128417, 142.0775939006209]"
sphere3D_-65.0_-41.6_89.4_22.0_0.csv,522,"[-65.0, -41.6, 89.4, 22.0]",1.0326672747485752e6,"[-65.03984268303154, -41.616707847291195, 89.32145753711913, 22.108526226231902]"
sphere3D_-68.0_-50.9_-67.6_115.0_0.csv,14,"[-68.0, -50.9, -67.6, 115.0]",629560.350996451,"[-67.24542874085539, -50.9922411152268, -67.24640269510981, 115.2108822558912]"
sphere3D_-68.6_-8.5_-84.0_129.0_0.csv,696,"[-68.6, -8.5, -84.0, 129.0]",4.572148065683271e7,"[-68.48830790892673, -8.564416454418604, -83.96348307099151, 129.1170171396954]"
sphere3D_-7.9_23.3_23.3_49.0_0.csv,959,"[-7.9, 23.3, 23.3, 49.0]",8.641252995924532e6,"[-7.7988761934246, 23.173243475708187, 23.39175076455548, 49.073615091326076]"
sphere3D_-70.5_-29.7_1.8_38.0_0.csv,237,"[-70.5, -29.7, 1.8, 38.0]",1.260623695172051e6,"[-70.77415027244571, -30.001687479008915, 1.845943021569012, 37.93503809735275]"
sphere3D_-71.4_85.1_-80.6_103.0_0.csv,178,"[-71.4, 85.1, -80.6, 103.0]",6.067340296078334e6,"[-71.57566640803618, 85.2118484558374, -80.50974838447554, 103.02905467223846]"
sphere3D_-75.9_-13.1_31.6_95.0_0.csv,200,"[-75.9, -13.1, 31.6, 95.0]",8.809607139582345e6,"[-75.5002438816785, -12.4905122758882, 31.14381564995924, 95.16926245906407]"
sphere3D_-75.9_-30.5_-44.4_78.0_0.csv,537,"[-75.9, -30.5, -44.4, 78.0]",1.3651431967679106e7,"[-76.23517834020959, -30.859330586626434, -44.34444068676953, 77.95281984492122]"
sphere3D_-76.5_-18.8_-25.7_139.0_0.csv,329,"[-76.5, -18.8, -25.7, 139.0]",2.751119275548435e7,"[-76.60512121440492, -18.920553744822083, -25.641805755003702, 138.98109522795355]"
sphere3D_-77.0_-70.7_-81.9_65.0_0.csv,533,"[-77.0, -70.7, -81.9, 65.0]",8.60985617007333e6,"[-77.11280093700779, -70.61368960861329, -81.90873167087346, 64.95280739266225]"
sphere3D_-77.2_7.9_-51.4_97.0_0.csv,272,"[-77.2, 7.9, -51.4, 97.0]",1.6322327443576321e7,"[-75.89662855680795, 7.201024685824716, -50.85616527698112, 97.55507224593576]"
sphere3D_-78.1_77.0_-32.1_121.0_0.csv,904,"[-78.1, 77.0, -32.1, 121.0]",6.099886122890086e7,"[-77.40480307632687, 76.06792151785342, -31.521883377540465, 121.27798044141792]"
sphere3D_-78.7_-44.7_59.2_143.0_0.csv,980,"[-78.7, -44.7, 59.2, 143.0]",8.175551480047025e7,"[-78.39390784205396, -44.60712186043635, 59.107043304826185, 143.13079344099137]"
sphere3D_-80.7_83.6_51.3_123.0_0.csv,500,"[-80.7, 83.6, 51.3, 123.0]",4.4661975566348255e7,"[-81.87586010048581, 84.47436464121365, 50.865388249093755, 122.53628257032497]"
sphere3D_-82.5_21.5_-95.5_41.0_0.csv,310,"[-82.5, 21.5, -95.5, 41.0]",2.037245790114561e6,"[-82.73349710372972, 21.604651286399253, -95.53720913502082, 40.96320860427306]"
sphere3D_-84.0_30.4_-72.2_36.0_0.csv,495,"[-84.0, 30.4, -72.2, 36.0]",2.725858826778558e6,"[-83.9247699510894, 30.48940087240102, -72.32541281362568, 36.0697370710928]"
sphere3D_-85.2_83.7_36.1_74.0_0.csv,453,"[-85.2, 83.7, 36.1, 74.0]",1.0330996534919577e7,"[-85.288083533772, 83.87742532606491, 36.100499039754204, 73.98932087385141]"
sphere3D_-86.1_96.0_16.3_98.0_0.csv,808,"[-86.1, 96.0, 16.3, 98.0]",2.960399551413435e7,"[-86.1653999320334, 96.22222539485087, 16.191090793120733, 97.94176275036722]"
sphere3D_-86.2_-55.2_-60.1_65.0_0.csv,725,"[-86.2, -55.2, -60.1, 65.0]",1.1593990872988487e7,"[-86.38491037642034, -55.338288325420145, -60.02639900538159, 65.05315364206706]"
sphere3D_-86.6_21.5_50.7_91.0_0.csv,271,"[-86.6, 21.5, 50.7, 91.0]",8.486395110984698e6,"[-87.26700245233853, 21.456141875618076, 50.76483300399044, 90.70918729180721]"
sphere3D_-89.0_82.8_59.9_18.0_0.csv,851,"[-89.0, 82.8, 59.9, 18.0]",1.0212150810024209e6,"[-89.16573355738346, 82.80406770157578, 59.94661079418311, 18.047644753787107]"
sphere3D_-9.1_-82.5_-5.2_57.0_0.csv,556,"[-9.1, -82.5, -5.2, 57.0]",7.475474941711584e6,"[-9.169949940890183, -82.98742246457815, -4.874638248631932, 56.91642480278175]"
sphere3D_-9.4_-25.6_-7.3_128.0_0.csv,388,"[-9.4, -25.6, -7.3, 128.0]",2.112447261266419e7,"[-9.384098491937014, -25.660744335871204, -7.34961632353592, 128.1192010756873]"
sphere3D_-9.7_-54.5_-62.6_29.0_0.csv,210,"[-9.7, -54.5, -62.6, 29.0]",640501.5616663573,"[-9.569249274508781, -54.43867177699186, -62.74772649565492, 28.97477499905306]"
sphere3D_-92.1_-25.9_-15.4_41.0_0.csv,504,"[-92.1, -25.9, -15.4, 41.0]",3.8713610055373088e6,"[-92.17665541051403, -25.73701849932867, -15.585301533353556, 41.00889356549123]"
sphere3D_-92.3_31.2_-82.3_111.0_0.csv,812,"[-92.3, 31.2, -82.3, 111.0]",4.072183029070225e7,"[-92.47093496279491, 31.617538205899084, -82.54655972362146, 110.86767832837471]"
sphere3D_-92.6_69.3_-62.0_85.0_0.csv,973,"[-92.6, 69.3, -62.0, 85.0]",2.657605045957456e7,"[-92.80113672564619, 69.50589405509696, -62.06276544645682, 84.9397650494826]"
sphere3D_-93.1_96.1_50.0_64.0_0.csv,892,"[-93.1, 96.1, 50.0, 64.0]",1.4450176914178358e7,"[-93.28353331669437, 96.03435722748917, 49.92454674903917, 64.00618262985269]"
sphere3D_-94.0_-55.7_28.9_127.0_0.csv,526,"[-94.0, -55.7, 28.9, 127.0]",3.753200088211757e7,"[-93.58189225198493, -55.5730378418832, 28.897501515676755, 127.22198957461467]"
sphere3D_-97.4_-93.1_80.4_21.0_0.csv,157,"[-97.4, -93.1, 80.4, 21.0]",308231.5400129534,"[-97.92668035047245, -92.82361290870416, 80.32413388787104, 20.979810438377672]"
sphere3D_-98.2_-0.5_17.2_124.0_0.csv,351,"[-98.2, -0.5, 17.2, 124.0]",1.9344927220491845e7,"[-98.03052095005276, -0.48560714952843764, 17.15141908443053, 124.08184951994446]"
sphere3D_0.0_76.7_1.6_84.0_0.csv,470,"[0.0, 76.7, 1.6, 84.0]",1.3367309751760466e7,"[0.1947427761865875, 75.8667233359866, 1.9784473252426127, 84.16987058553507]"
sphere3D_0.8_86.2_-24.3_33.0_0.csv,163,"[0.8, 86.2, -24.3, 33.0]",595076.580620549,"[0.4083199154350975, 86.52661923357526, -24.56828633313107, 33.03682734622938]"
sphere3D_1.7_15.3_78.8_31.0_0.csv,909,"[1.7, 15.3, 78.8, 31.0]",3.3875498957956205e6,"[1.6385221143001432, 15.242271388854448, 78.91067873610326, 30.99313063096464]"
sphere3D_11.0_-18.4_61.3_75.0_0.csv,658,"[11.0, -18.4, 61.3, 75.0]",1.5508144744161222e7,"[11.014395222692649, -17.847586485469286, 60.861680987276216, 75.09199562126439]"
sphere3D_12.4_-91.8_77.4_69.0_0.csv,210,"[12.4, -91.8, 77.4, 69.0]",3.7908003548976234e6,"[12.611576170951603, -92.18537866160057, 77.85568232242811, 68.97844665984543]"
sphere3D_13.8_-48.3_-66.0_77.0_0.csv,531,"[13.8, -48.3, -66.0, 77.0]",1.2407192965962324e7,"[13.671849007576592, -48.295324963982154, -66.22328697235805, 76.87743361895537]"
sphere3D_15.7_-16.5_-61.9_121.0_0.csv,384,"[15.7, -16.5, -61.9, 121.0]",2.3394080576054435e7,"[15.62506977627792, -16.564697330389706, -61.84666521723737, 121.09503430080869]"
sphere3D_19.5_-85.6_-71.8_135.0_0.csv,326,"[19.5, -85.6, -71.8, 135.0]",2.3690893035665944e7,"[19.515263462211923, -85.528917827865, -71.88161911190862, 135.0823572478153]"
sphere3D_20.1_86.8_-33.3_77.0_0.csv,642,"[20.1, 86.8, -33.3, 77.0]",1.5517180736051101e7,"[20.029263339238554, 87.44657370599819, -33.59696374150359, 76.98379469418832]"
sphere3D_21.1_74.3_67.8_19.0_0.csv,819,"[21.1, 74.3, 67.8, 19.0]",1.1250004885153952e6,"[21.026673577190017, 74.16993963479008, 67.92309736459487, 19.121947899560816]"
sphere3D_21.1_95.5_-23.7_126.0_0.csv,501,"[21.1, 95.5, -23.7, 126.0]",3.34029072220603e7,"[21.246925839353025, 95.13565651741274, -23.47477912778751, 126.12199405983748]"
sphere3D_21.3_68.4_81.7_87.0_0.csv,749,"[21.3, 68.4, 81.7, 87.0]",2.1365526483656034e7,"[21.304314312866236, 68.40758484365264, 81.79736824030037, 86.97682707811008]"
sphere3D_22.9_-1.2_4.2_25.0_0.csv,550,"[22.9, -1.2, 4.2, 25.0]",2.844185548959797e6,"[20.97818369572906, -0.6626057614027647, 3.664501477612165, 25.371693594889845]"
sphere3D_24.2_-97.7_43.6_123.0_0.csv,270,"[24.2, -97.7, 43.6, 123.0]",1.7569667122686215e7,"[24.04583041659363, -97.25989218352979, 43.353683042469136, 123.10812864688891]"
sphere3D_25.5_3.6_5.9_128.0_0.csv,861,"[25.5, 3.6, 5.9, 128.0]",5.695603277026971e7,"[25.493784353739308, 3.4783027331976264, 5.997179928749706, 128.09413553281507]"
sphere3D_25.7_-18.1_99.7_142.0_0.csv,943,"[25.7, -18.1, 99.7, 142.0]",7.42276370479802e7,"[25.829540967850406, -18.153731176569448, 99.72135979724213, 142.01725399753064]"
sphere3D_26.0_-3.4_94.0_98.0_0.csv,207,"[26.0, -3.4, 94.0, 98.0]",1.27509653187065e8,"[25.788691537719668, 3.9194792619430747, 87.11017631701544, 100.30470355648846]"
sphere3D_26.5_74.7_-93.7_71.0_0.csv,592,"[26.5, 74.7, -93.7, 71.0]",1.1553278362982562e7,"[26.615316770849503, 75.01392534637831, -93.80069776017257, 71.10612487528753]"
sphere3D_26.8_-27.7_-74.7_125.0_0.csv,703,"[26.8, -27.7, -74.7, 125.0]",4.318957274027967e7,"[26.636838191671295, -27.7131477716506, -74.64426337778843, 125.05047968075877]"
sphere3D_27.2_2.8_96.7_135.0_0.csv,657,"[27.2, 2.8, 96.7, 135.0]",5.251507049023883e7,"[27.313797840742353, 2.943801462724052, 96.63045930934827, 135.06702762052066]"
sphere3D_29.2_-90.0_-66.6_16.0_0.csv,802,"[29.2, -90.0, -66.6, 16.0]",829384.3281724687,"[29.223724674131986, -90.11200142241383, -66.5396560032577, 16.08035255398042]"
sphere3D_3.0_45.9_52.6_107.0_0.csv,568,"[3.0, 45.9, 52.6, 107.0]",2.7275691976937536e7,"[2.873255885803873, 45.72588914954634, 52.820085223669125, 107.01816836424211]"
sphere3D_3.6_-72.9_1.5_106.0_0.csv,424,"[3.6, -72.9, 1.5, 106.0]",1.9071195194537707e7,"[3.567888512433687, -72.75553497756187, 1.5084030128399015, 106.06713728773502]"
sphere3D_31.7_79.8_-76.9_106.0_0.csv,291,"[31.7, 79.8, -76.9, 106.0]",1.601172859494132e7,"[31.56251658197989, 80.79609017072382, -77.53292228009403, 105.93212943360358]"
sphere3D_34.4_75.6_48.2_116.0_0.csv,473,"[34.4, 75.6, 48.2, 116.0]",2.5891847972891722e7,"[34.57600310140411, 75.4645705423576, 48.224198199070166, 116.14477916488889]"
sphere3D_36.7_-5.2_67.4_102.0_0.csv,634,"[36.7, -5.2, 67.4, 102.0]",2.5919654627813492e7,"[36.53477227514765, -5.144371652234683, 67.3091404546604, 102.01027634691764]"
sphere3D_36.9_-43.5_-98.1_143.0_0.csv,730,"[36.9, -43.5, -98.1, 143.0]",6.2255441004034504e7,"[36.94677193496906, -43.4167462357439, -98.07380665983939, 143.08790646672895]"
sphere3D_38.2_81.6_-50.1_143.0_0.csv,830,"[38.2, 81.6, -50.1, 143.0]",6.4762147275205225e7,"[38.11286705715048, 81.32762396225532, -50.0713196998222, 142.9839356306455]"
sphere3D_38.6_-46.1_56.1_68.0_0.csv,493,"[38.6, -46.1, 56.1, 68.0]",9.646619210785149e6,"[38.71646827087464, -46.65692251325865, 56.434653567830644, 67.98183390704325]"
sphere3D_39.3_-11.3_49.3_99.0_0.csv,297,"[39.3, -11.3, 49.3, 99.0]",1.0767495945768945e7,"[39.273476976992285, -11.271338009489163, 49.17068918054117, 99.04096877759382]"
sphere3D_39.4_15.0_-72.7_127.0_0.csv,40,"[39.4, 15.0, -72.7, 127.0]",2.1825195452799005e6,"[39.575527995397515, 14.077520807577846, -71.93167610030706, 127.25249453165621]"
sphere3D_4.6_-57.1_86.2_6.0_0.csv,603,"[4.6, -57.1, 86.2, 6.0]",91194.97580598551,"[4.36516108708768, -57.12514457094093, 86.29839828469605, 6.1955525949412396]"
sphere3D_4.8_-1.5_-32.7_42.0_0.csv,300,"[4.8, -1.5, -32.7, 42.0]",2.142160375827285e6,"[4.8006947161539975, -1.971183151215581, -32.203593719057906, 42.104041121198364]"
sphere3D_40.5_7.3_-14.1_13.0_0.csv,962,"[40.5, 7.3, -14.1, 13.0]",647800.6915941233,"[40.706663520303955, 7.429274561579134, -14.188658775152986, 13.117349534715427]"
sphere3D_40.8_66.5_65.2_146.0_0.csv,374,"[40.8, 66.5, 65.2, 146.0]",2.7549282079304796e7,"[40.91191181252408, 66.4533039307236, 65.09621756420344, 145.89528452491007]"
sphere3D_42.1_21.9_52.5_71.0_0.csv,101,"[42.1, 21.9, 52.5, 71.0]",3.676823728585123e7,"[37.25778749017843, 22.91960346906406, 48.30743415272276, 72.70409389210367]"
sphere3D_42.9_4.0_22.0_71.0_0.csv,40,"[42.9, 4.0, 22.0, 71.0]",629512.7545414389,"[42.852412577518336, 3.2643440760689586, 22.443639441551902, 71.2062171153495]"
sphere3D_45.4_-92.8_-46.0_38.0_0.csv,302,"[45.4, -92.8, -46.0, 38.0]",1.6751171758536445e6,"[45.46212392876549, -92.8714791903181, -45.963396683005016, 37.97870915138721]"
