cga,lm
0.0009874,0.02134735
0.02134735,0.02134735
0.0166185,0.02134735
0.0995073,0.02134735
0.02789455,0.02134735
0.05138245,0.02134735
0.0065405,0.02134735
0.0770375,0.02134735
0.0082317,0.02134735
0.0636125,0.02134735
0.02252625,0.02134735
0.0484356,0.02134735
0.03512865,0.02134735
0.0335487,0.02134735
0.0921312,0.02134735
0.1023995,0.02134735
0.10908355,0.02134735
0.0048523,0.02134735
0.0115001,0.02134735
0.0016116,0.02134735
0.012709,0.02134735
0.0588489,0.02134735
9.59e-5,0.02134735
0.04664425,0.02134735
0.0048709,0.02134735
0.0003934,0.02134735
0.0109214,0.02134735
0.0966829,0.02134735
0.11352195,0.02134735
0.0009547,0.02134735
0.0001374,0.02134735
0.0220708,0.02134735
0.0311828,0.02134735
0.1056716,0.02134735
0.1554165,0.02134735
0.0003709,0.02134735
0.0556381,0.02134735
0.01044385,0.02134735
0.00163185,0.02134735
0.00776715,0.02134735
0.0012667,0.02134735
0.10124675,0.02134735
0.0076054,0.02134735
0.0205705,0.02134735
0.0240066,0.02134735
0.06674875,0.02134735
0.0107434,0.02134735
0.0933776,0.02134735
0.06385395,0.02134735
0.00759645,0.02134735
0.1447251,0.02134735
0.1233246,0.02134735
0.01186035,0.02134735
0.0081262,0.02134735
0.0097931,0.02134735
0.0002527,0.02134735
0.0310292,0.02134735
0.0027792,0.02134735
0.0846099,0.02134735
0.01193045,0.02134735
0.04769795,0.02134735
0.0254636,0.02134735
0.00479925,0.02134735
0.02438015,0.02134735
0.020714,0.02134735
0.0085934,0.02134735
0.1199462,0.02134735
0.0074141,0.02134735
0.0022917,0.02134735
0.0663947,0.02134735
0.1274981,0.02134735
0.0149803,0.02134735
0.090649,0.02134735
0.01463955,0.02134735
0.02592395,0.02134735
0.0161592,0.02134735
0.10445675,0.02134735
0.0285611,0.02134735
0.0242672,0.02134735
0.1196346,0.02134735
0.1367769,0.02134735
0.0002546,0.02134735
0.0146483,0.02134735
0.01154625,0.02134735
0.1180271,0.02134735
0.0345253,0.02134735
0.03481195,0.02134735
0.11954205,0.02134735
0.0171054,0.02134735
0.0036705,0.02134735
0.02702555,0.02134735
0.0114883,0.02134735
0.0934931,0.02134735
0.0249632,0.02134735
0.01427695,0.02134735
0.0829625,0.02134735
0.0447516,0.02134735
0.01357125,0.02134735
0.0843141,0.02134735
0.0245469,0.02134735
0.0464626,0.02134735
0.0190815,0.02134735
0.0511901,0.02134735
0.0524562,0.02134735
0.0044403,0.02134735
0.0945111,0.02134735
0.0357054,0.02134735
0.0115125,0.02134735
0.1033304,0.02134735
0.1184704,0.02134735
0.0627832,0.02134735
0.0244192,0.02134735
0.0231824,0.02134735
0.0065416,0.02134735
0.0118471,0.02134735
0.0416,0.02134735
0.00067305,0.02134735
0.0005339,0.02134735
0.0035053,0.02134735
0.0035722,0.02134735
0.0049485,0.02134735
0.017131,0.02134735
0.0384549,0.02134735
0.0030686,0.02134735
0.0492348,0.02134735
0.0434873,0.02134735
0.01077685,0.02134735
0.0253826,0.02134735
0.02535425,0.02134735
0.05818535,0.02134735
0.14959325,0.02134735
0.0539931,0.02134735
