1,2,3,4,5,6,7,8
cubic_-0.2_2.1_-5.9_6.csv,28,6,"[-0.2, 2.1, -5.9, -9.3]","[-0.23774945936925607, 2.1807580814437078, -5.522437153874554, -9.582711481089135]",5,27.042709038555977,3.17e-5
cubic_-0.2_6.1_-1.4_18.csv,89,18,"[-0.2, 6.1, -1.4, 0.4]","[-0.2000000048450579, 6.099999943524022, -1.399999912252276, 0.4000008857986493]",6,2.4060954339665828e-11,0.0001208
cubic_-0.7_-9.6_9.4_14.csv,69,14,"[-0.7, -9.6, 9.4, -3.5]","[-0.7000000104015928, -9.600000025852367, 9.400000191621015, -3.4999995849050314]",4,6.306708014401498e-12,6.4e-5
cubic_-0.9_-4.9_1.2_16.csv,78,16,"[-0.9, -4.9, 1.2, 1.6]","[-0.9000000547744261, -4.899999931482673, 1.2000010521832085, 1.5999987966843257]",5,1.3496602911748077e-10,8.595e-5
cubic_-1.0_-0.6_-9.6_6.csv,31,6,"[-1.0, -0.6, -9.6, -6.9]","[-0.9999999996282324, -0.5999999909633632, -9.600000000135388, -6.900000125074464]",6,1.8073145666917283e-13,3.96e-5
cubic_-1.0_0.1_2.2_5.csv,26,5,"[-1.0, 0.1, 2.2, 3.5]","[0.3942598639325995, 4.765892208035556, -6.962194996416443, -5.527548040623916]",6,13247.468172693083,3.445e-5
cubic_-1.8_-3.2_7.4_11.csv,57,11,"[-1.8, -3.2, 7.4, 9.7]","[-1.8000000000865914, -3.1999999990506725, 7.400000001629922, 9.699999984751866]",5,4.751400185486861e-15,5.96e-5
cubic_-1.8_2.4_0.0_5.csv,26,5,"[-1.8, 2.4, 0.0, 1.9]","[-1.7999999996691838, 2.3999999948928177, -7.1579122165997865e-9, 1.9000000872556975]",6,6.401629075130218e-14,3.495e-5
cubic_-1.9_1.7_-6.2_11.csv,57,11,"[-1.9, 1.7, -6.2, -2.4]","[-1.9000000000277324, 1.6999999987703287, -6.199999999417233, -2.399999980356877]",5,7.247655489122242e-15,6.06e-5
cubic_-2.1_-1.8_2.7_17.csv,84,17,"[-2.1, -1.8, 2.7, -8.7]","[-2.100000000012392, -1.800000000465183, 2.700000000196603, -8.699999993007957]",5,1.4940368079302853e-15,8.99e-5
cubic_-2.1_2.4_8.3_12.csv,58,12,"[-2.1, 2.4, 8.3, 0.2]","[-2.1000000027187395, 2.4000000429939887, 8.300000024807474, 0.199999404238079]",5,7.008306318278899e-12,6.01e-5
cubic_-2.1_9.5_1.1_6.csv,31,6,"[-2.1, 9.5, 1.1, -1.4]","[-2.100000023348936, 9.4999999508799, 1.1000004479608458, -1.3999992174346794]",6,1.4757789596958967e-11,3.995e-5
cubic_-2.3_4.2_-4.5_8.csv,40,8,"[-2.3, 4.2, -4.5, 6.4]","[-2.3000000070217466, 4.200000166519664, -4.499999825096788, 6.399997520984946]",5,8.094487488469867e-11,3.765e-5
cubic_-2.5_-5.9_2.2_18.csv,91,18,"[-2.5, -5.9, 2.2, 3.9]","[-2.5000000000945857, -5.900000001288311, 2.2000000015768952, 3.9000000199558174]",5,1.2384398791439856e-14,0.0001063
cubic_-2.7_-8.0_2.4_3.csv,15,3,"[-2.7, -8.0, 2.4, 7.4]","[-2.700000003597867, -7.999999927369448, 2.4000000689962078, 7.399998723436716]",6,7.721458840009205e-12,2.515e-5
cubic_-2.8_-2.4_-0.1_13.csv,67,13,"[-2.8, -2.4, -0.1, 2.4]","[-2.7999999951408974, -2.3999999500125555, -0.1000000758287821, 2.3999993021028523]",7,1.2839308144391629e-11,9.95e-5
cubic_-2.9_0.1_3.6_19.csv,94,19,"[-2.9, 0.1, 3.6, 1.1]","[-2.9000000033343847, 0.10000004933304252, 3.6000000652511237, 1.099999222955227]",4,1.9261067659423966e-11,9.005e-5
cubic_-3.1_-2.1_9.9_7.csv,34,7,"[-3.1, -2.1, 9.9, 5.0]","[-3.099999999433459, -2.0999999733891253, 9.899999987930627, 4.999999572338758]",5,2.363888569166612e-12,3.55e-5
cubic_-3.4_-9.4_-0.4_10.csv,49,10,"[-3.4, -9.4, -0.4, -4.2]","[-3.399999999836808, -9.40000003212954, -0.4000000159281386, -4.1999995216756965]",5,4.281113312967368e-12,4.95e-5
cubic_-3.9_-9.3_3.3_11.csv,56,11,"[-3.9, -9.3, 3.3, -4.4]","[-3.900000000304898, -9.300000004712992, 3.3000000037868844, -4.39999993048113]",6,9.344346628519939e-14,7.08e-5
cubic_-4.3_-0.8_-9.1_6.csv,29,6,"[-4.3, -0.8, -9.1, -4.3]","[-4.299999986061504, -0.8000000987586935, -9.100000295378168, -4.299998257379251]",5,3.619669329904802e-11,3.25e-5
cubic_-4.3_-7.0_-7.1_8.csv,39,8,"[-4.3, -7.0, -7.1, -3.1]","[-4.300000002681087, -6.999999967716417, -7.0999999484163085, -3.100000536117374]",5,4.012850447606874e-12,3.535e-5
cubic_-4.7_-7.3_9.8_4.csv,18,4,"[-4.7, -7.3, 9.8, -1.5]","[-2.8730479759895076, 1.992670412947738, 10.174127388392826, -23.421701703411095]",5,15245.541034546623,2.34e-5
cubic_-4.9_2.1_7.2_14.csv,72,14,"[-4.9, 2.1, 7.2, -0.2]","[-4.899999999245022, 2.099999990487231, 7.199999986049809, -0.19999984709316396]",5,6.019798146326623e-13,8.415e-5
cubic_-5.2_-5.1_-4.1_11.csv,56,11,"[-5.2, -5.1, -4.1, 1.2]","[-5.199999997296927, -5.100000063124396, -4.100000067814493, 1.2000009822400022]",5,1.989516294202169e-11,5.86e-5
