1,npts,nout,solution,value obtained,internal it,external it,ndif,time
sphere3D_15.1_20.6_-75.9_162.0_12.csv,43,12,"[15.1, 20.6, -75.9, 162.0]","[15.100000000000001, 20.6, -75.9, 162.0]",140,8,1.7763568394002505e-15,0.0004996
sphere3D_16.9_115.7_-61.0_143.0_10.csv,35,10,"[16.9, 115.7, -61.0, 143.0]","[18.51127468446761, 114.57619313168746, -58.93727651120298, 144.19644838765996]",55,5,5.99425342923713,0.00017855
sphere3D_19.0_22.3_-45.9_138.0_2.csv,9,2,"[19.0, 22.3, -45.9, 138.0]","[10.733130663822635, 19.14249260923422, -35.80786381984974, 131.9028973292265]",39,3,27.613615577866895,8.25e-5
sphere3D_21.1_-92.0_12.9_50.0_8.csv,27,8,"[21.1, -92.0, 12.9, 50.0]","[21.100000000001245, -91.99999999998167, 12.899999999989106, -50.000000000001684]",52,9,3.2153835149983934e-11,0.0001627
sphere3D_23.5_-104.4_19.6_119.0_12.csv,41,12,"[23.5, -104.4, 19.6, 119.0]","[23.5, -104.4, 19.600000000000005, 119.0]",46,6,3.552713678800501e-15,0.000167
sphere3D_25.9_-76.5_100.9_147.0_5.csv,18,5,"[25.9, -76.5, 100.9, 147.0]","[25.89999999999999, -76.49999999999999, 100.90000000000002, 147.0]",50,6,3.552713678800501e-14,0.0001262
sphere3D_29.8_-59.9_19.4_55.0_2.csv,9,2,"[29.8, -59.9, 19.4, 55.0]","[29.800000000013554, -59.90000000000276, 19.400000000007847, -55.00000000002232]",29,4,4.6483705773425754e-11,6.3e-5
sphere3D_30.4_108.3_-34.2_144.0_9.csv,32,9,"[30.4, 108.3, -34.2, 144.0]","[30.40000000000001, 108.29999999999998, -34.19999999999999, 144.0]",44,5,3.907985046680551e-14,0.00013905
sphere3D_30.5_96.6_-100.7_121.0_12.csv,43,12,"[30.5, 96.6, -100.7, 121.0]","[30.50000000000003, 96.59999999999987, -100.69999999999993, -121.00000000000001]",46,7,2.4158453015843406e-13,0.00017125
sphere3D_39.8_-75.3_-66.9_121.0_11.csv,37,11,"[39.8, -75.3, -66.9, 121.0]","[37.081979131029726, -84.79662097217742, -54.05642437390119, 119.91004007749741]",64,5,26.1481773897491,0.0002062
sphere3D_41.4_27.4_9.5_89.0_8.csv,27,8,"[41.4, 27.4, 9.5, 89.0]","[41.400000000000006, 27.40000000000007, 9.499999999999966, 89.0]",50,6,1.1191048088221578e-13,0.0001473
sphere3D_42.8_60.5_6.9_155.0_11.csv,37,11,"[42.8, 60.5, 6.9, 155.0]","[42.8, 60.5, 6.900000000000009, 155.0]",52,5,8.881784197001252e-15,0.0001715
sphere3D_45.6_-62.7_54.8_91.0_3.csv,11,3,"[45.6, -62.7, 54.8, 91.0]","[47.95678295680277, -64.73574248231148, 58.232671887252174, -92.74048105528551]",30,4,9.565678381651935,6.43e-5
sphere3D_45.6_10.1_-84.2_63.0_11.csv,37,11,"[45.6, 10.1, -84.2, 63.0]","[45.60000000005584, 10.100000000163652, -84.20000000011572, -63.00000000003188]",37,5,3.6709479900309816e-10,0.0001258
sphere3D_46.6_19.7_-23.9_58.0_4.csv,15,4,"[46.6, 19.7, -23.9, 58.0]","[46.599999999999355, 19.699999999999758, -23.899999999999896, -57.99999999999988]",44,6,1.1119993814645568e-12,0.0001088
sphere3D_47.4_-91.3_-39.7_10.0_3.csv,13,3,"[47.4, -91.3, -39.7, 10.0]","[47.399999999930074, -91.30000000124043, -39.69999999906378, -9.999999999924778]",35,5,2.32180852322017e-9,"8,72E-02"
sphere3D_48.5_-107.3_3.4_91.0_12.csv,41,12,"[48.5, -107.3, 3.4, 91.0]","[48.500000000000675, -107.29999999999977, 3.3999999999996846, -91.00000000000091]",137,5,2.1271873151818e-12,0.000451
sphere3D_48.7_27.6_71.9_159.0_14.csv,47,14,"[48.7, 27.6, 71.9, 159.0]","[48.7, 27.599999999999994, 71.9, 159.0]",114,6,7.105427357601002e-15,0.0003864
sphere3D_49.8_-52.3_-27.9_163.0_2.csv,8,2,"[49.8, -52.3, -27.9, 163.0]","[35.8119737293037, -36.83001807822164, -14.203032658230557, 153.29554635648785]",59,3,52.85942917775625,0.00012105
