1,npts,nout,solution,value obtained,it,ndif,time
sphere3D_42.3_2.8_19.8_146.0_9.csv,45,9,"[42.3, 2.8, 19.8, 146.0]","[42.29999999999916, 2.800000000019185, 19.799999999988177, 145.99999999999912]",7,3.2728042498320065e-11,9.42e-5
sphere3D_47.2_77.2_64.6_170.0_4.csv,21,4,"[47.2, 77.2, 64.6, 170.0]","[47.20000000000001, 77.19999999999999, 64.60000000000001, 170.0]",9,3.552713678800501e-14,7.28e-5
sphere3D_53.5_34.0_0.1_84.0_7.csv,38,7,"[53.5, 34.0, 0.1, 84.0]","[53.500000000000114, 34.00000000000018, 0.09999999999990637, 84.00000000000007]",8,4.560102295769752e-13,"8,25E-02"
sphere3D_58.0_-26.2_-7.5_70.0_6.csv,30,6,"[58.0, -26.2, -7.5, 70.0]","[58.00000000000003, -26.19999999999935, -7.5000000000004, 70.0]",7,1.078248601515952e-12,"5,77E-02"
sphere3D_61.8_-3.6_72.1_162.0_6.csv,32,6,"[61.8, -3.6, 72.1, 162.0]","[61.79999999999569, -3.5999999999865255, 72.09999999999307, 161.99999999999838]",8,2.632116746781321e-11,7.99e-5
sphere3D_61.8_26.0_-66.2_39.0_7.csv,39,7,"[61.8, 26.0, -66.2, 39.0]","[61.80000000000102, 25.999999999986876, -66.19999999999138, -39.00000000000114]",10,2.390976305832737e-11,0.00010675
sphere3D_64.5_-93.3_3.7_112.0_7.csv,35,7,"[64.5, -93.3, 3.7, 112.0]","[64.5, -93.3, 3.7000000000000046, -112.0]",7,4.440892098500626e-15,4.02e-5
sphere3D_66.4_12.5_-102.5_105.0_9.csv,48,9,"[66.4, 12.5, -102.5, 105.0]","[66.4, 12.499999999999998, -102.5, -105.0]",9,1.7763568394002505e-15,0.0001024
sphere3D_67.7_33.4_15.6_122.0_7.csv,38,7,"[67.7, 33.4, 15.6, 122.0]","[67.69999999999978, 33.400000000001704, 15.599999999999, 121.99999999999977]",9,3.1601388172930456e-12,"9,60E-02"
sphere3D_68.7_-14.9_-48.3_139.0_7.csv,36,7,"[68.7, -14.9, -48.3, 139.0]","[68.69999999999992, -14.899999999994263, -48.300000000002676, 139.00000000000023]",13,8.72901750881283e-12,0.0001591
sphere3D_72.8_-78.0_-49.4_91.0_5.csv,25,5,"[72.8, -78.0, -49.4, 91.0]","[72.80000000000003, -78.0, -49.39999999999999, -91.00000000000001]",9,4.973799150320701e-14,6.8e-5
sphere3D_74.4_-96.6_-106.8_71.0_5.csv,27,5,"[74.4, -96.6, -106.8, 71.0]","[74.39999999998848, -96.60000000000686, -106.79999999999484, -70.99999999999653]",8,2.701483481359901e-11,"6,90E-02"
sphere3D_75.2_2.4_94.5_59.0_8.csv,42,8,"[75.2, 2.4, 94.5, 59.0]","[75.19999999999997, 2.3999999999994874, 94.50000000000031, -59.0]",10,8.535394613318203e-13,0.0001165
sphere3D_76.1_80.4_77.8_163.0_1.csv,9,1,"[76.1, 80.4, 77.8, 163.0]","[76.10000000000002, 80.4, 77.80000000000001, 163.0]",7,4.263256414560601e-14,"3,87E-02"
sphere3D_79.3_-95.7_70.6_24.0_6.csv,33,6,"[79.3, -95.7, 70.6, 24.0]","[81.52050401818823, -96.88315946343018, 73.68376534565003, -25.997426605455377]",9,8.484855432723823,6.61e-5
sphere3D_8.2_9.3_-118.9_49.0_8.csv,43,8,"[8.2, 9.3, -118.9, 49.0]","[8.200000000010927, 9.300000000274594, -118.90000000013698, -49.00000000000427]",9,4.2676973066591017e-10,0.00010545
sphere3D_80.0_-54.8_-55.6_159.0_10.csv,50,10,"[80.0, -54.8, -55.6, 159.0]","[79.99999999999996, -54.80000000000014, -55.5999999999999, 159.0]",8,2.8421709430404007e-13,0.0001101
sphere3D_88.3_-92.7_16.1_16.0_3.csv,19,3,"[88.3, -92.7, 16.1, 16.0]","[88.30000000000464, -92.7000000000457, 16.10000000002579, -16.000000000003716]",11,7.985434535839886e-11,"8,19E-02"
sphere3D_88.8_32.9_47.6_139.0_9.csv,47,9,"[88.8, 32.9, 47.6, 139.0]","[88.7999999999989, 32.90000000000314, 47.59999999999824, 138.99999999999955]",8,6.45172804070171e-12,0.00010255
sphere3D_91.2_-6.2_-43.4_155.0_6.csv,30,6,"[91.2, -6.2, -43.4, 155.0]","[91.19999999999982, -6.199999999998487, -43.40000000000087, 155.0]",8,2.5721647034515627e-12,"7,68E-02"
sphere3D_91.3_88.0_27.7_159.0_9.csv,45,9,"[91.3, 88.0, 27.7, 159.0]","[91.29999999999936, 88.00000000000104, 27.69999999999935, 158.99999999999994]",8,2.383870878475136e-12,"9,48E-02"
sphere3D_93.3_-23.3_19.9_68.0_4.csv,23,4,"[93.3, -23.3, 19.9, 68.0]","[93.29999999999997, -23.299999999998725, 19.899999999999306, -67.99999999999994]",9,2.0534685063466895e-12,"7,95E-02"
sphere3D_96.7_106.1_93.6_168.0_3.csv,16,3,"[96.7, 106.1, 93.6, 168.0]","[96.69999999999919, 106.09999999999899, 93.60000000000042, -167.99999999999983]",6,2.4158453015843406e-12,3.96e-5
