1,npts,nout,solution,value obtained,internal it,external it,ndif,time
sphere3D_-0.1_22.3_-60.7_154.0_5.csv,27,5,"[-0.1, 22.3, -60.7, 154.0]","[-0.10000000000001419, 22.3, -60.7, 154.0]",106,4,1.4183099139586375e-14,0.00029875
sphere3D_-0.5_12.0_3.3_38.0_5.csv,28,5,"[-0.5, 12.0, 3.3, 38.0]","[-0.5000000000005019, 12.000000000000307, 3.299999999999778, 37.99999999999981]",45,5,1.2226886170196849e-12,0.0001378
sphere3D_-11.7_-34.1_70.5_87.0_6.csv,34,6,"[-11.7, -34.1, 70.5, 87.0]","[-11.699999999999962, -34.10000000000001, 70.50000000000001, 87.00000000000004]",37,5,1.0125233984581428e-13,0.00012665
sphere3D_-113.2_115.8_112.1_101.0_4.csv,24,4,"[-113.2, 115.8, 112.1, 101.0]","[-113.19999999999621, 115.80000000000054, 112.10000000000001, -101.00000000001023]",38,4,1.4580336937797256e-11,0.0001072
sphere3D_-114.0_54.9_82.6_145.0_2.csv,12,2,"[-114.0, 54.9, 82.6, 145.0]","[-113.99999999999952, 54.900000000000816, 82.59999999999984, -145.00000000000085]",27,3,2.3092638912203256e-12,5.71e-5
sphere3D_-117.3_6.6_-84.5_78.0_5.csv,25,5,"[-117.3, 6.6, -84.5, 78.0]","[-117.29999999999974, 6.599999999999929, -84.49999999999994, -78.00000000000033]",56,5,7.105427357601002e-13,0.0001587
sphere3D_-118.1_-19.6_-87.5_101.0_6.csv,33,6,"[-118.1, -19.6, -87.5, 101.0]","[-118.1, -19.599999999999994, -87.5, -100.99999999999999]",41,5,2.1316282072803006e-14,0.00013675
sphere3D_-13.0_13.3_-3.9_163.0_3.csv,19,3,"[-13.0, 13.3, -3.9, 163.0]","[-12.999999999998632, 13.299999999999752, -3.8999999999997277, 163.00000000000534]",47,4,7.23199278240827e-12,0.00012225
sphere3D_-13.7_-108.5_-105.4_148.0_6.csv,34,6,"[-13.7, -108.5, -105.4, 148.0]","[-13.699999999999994, -108.5, -105.4, 148.0]",72,6,5.329070518200751e-15,0.0002344
sphere3D_-15.2_10.1_104.8_23.0_9.csv,48,9,"[-15.2, 10.1, 104.8, 23.0]","[-15.200000000042934, 10.100000000099941, 104.79999999994023, -22.999999999991026]",36,5,2.1162094299143064e-10,0.0001421
sphere3D_-19.8_105.7_76.0_88.0_3.csv,15,3,"[-19.8, 105.7, 76.0, 88.0]","[-19.799999999999883, 105.69999999999999, 76.00000000000001, -88.00000000000016]",59,5,3.019806626980426e-13,0.00013675
sphere3D_-2.6_-20.3_50.6_24.0_2.csv,11,2,"[-2.6, -20.3, 50.6, 24.0]","[-2.599999999999989, -20.29999999999999, 50.599999999999994, -24.000000000000004]",28,4,3.241851231905457e-14,"6,29E-02"
sphere3D_-25.4_97.3_105.8_139.0_2.csv,13,2,"[-25.4, 97.3, 105.8, 139.0]","[-25.399999999999558, 97.30000000000025, 105.79999999999981, -139.00000000000057]",37,4,1.4495071809506044e-12,"8,62E-02"
sphere3D_-26.4_116.9_-56.7_50.0_9.csv,47,9,"[-26.4, 116.9, -56.7, 50.0]","[-26.399999999995664, 116.90000000000023, -56.700000000000514, -50.0000000000065]",34,4,1.1574741165532032e-11,0.00012885
sphere3D_-27.2_66.2_-24.6_23.0_6.csv,33,6,"[-27.2, 66.2, -24.6, 23.0]","[-27.19999999998364, 66.20000000000243, -24.599999999999056, -23.00000000002743]",30,4,4.716582679975545e-11,0.00010275
sphere3D_-3.1_42.7_2.6_83.0_2.csv,14,2,"[-3.1, 42.7, 2.6, 83.0]","[-4.4548361192175046, 41.59057761284503, 4.230949094968716, 82.09670519169809]",38,4,4.9985024096431,8.86e-5
sphere3D_-32.7_114.0_-35.7_17.0_4.csv,20,4,"[-32.7, 114.0, -35.7, 17.0]","[-32.69999999999943, 114.0000000000124, -35.70000000000614, -16.999999999999766]",33,5,1.935518412210513e-11,"9,20E-02"
sphere3D_-33.5_56.1_57.0_89.0_5.csv,26,5,"[-33.5, 56.1, 57.0, 89.0]","[-33.49999999999625, 56.099999999998566, 57.00000000000147, 89.00000000000875]",15,4,1.5411671938636573e-11,"4,73E-02"
sphere3D_-34.1_35.6_-100.5_97.0_3.csv,15,3,"[-34.1, 35.6, -100.5, 97.0]","[-39.218572807772354, 27.093308395078996, -88.66397966107071, -94.34850109766565]",27,3,28.112783653957,"6,16E-02"
sphere3D_-34.3_38.6_-118.3_96.0_8.csv,41,8,"[-34.3, 38.6, -118.3, 96.0]","[-34.29999999999997, 38.599999999999994, -118.29999999999998, -96.00000000000004]",40,5,9.237055564881302e-14,0.0001403
sphere3D_-36.2_114.5_42.9_144.0_5.csv,28,5,"[-36.2, 114.5, 42.9, 144.0]","[-36.199999999999996, 114.49999999999999, 42.900000000000006, 144.0]",93,5,2.842170943040401e-14,0.00027165
sphere3D_-4.8_-24.1_9.9_156.0_5.csv,25,5,"[-4.8, -24.1, 9.9, 156.0]","[-10.479967126553808, -27.128389029180433, 16.71017499382852, 152.369252689954]",105,4,19.14927845960875,0.00028055
sphere3D_-42.6_-93.3_7.3_18.0_5.csv,26,5,"[-42.6, -93.3, 7.3, 18.0]","[-42.59999999992333, -93.2999999999874, 7.300000000004044, -18.000000000118238]",33,5,2.1154722418259553e-10,0.00010025
sphere3D_-43.5_81.1_51.4_126.0_9.csv,47,9,"[-43.5, 81.1, 51.4, 126.0]","[-43.5, 81.1, 51.39999999999999, 126.0]",54,6,7.105427357601002e-15,0.0002064
sphere3D_-45.1_120.0_117.1_63.0_8.csv,40,8,"[-45.1, 120.0, 117.1, 63.0]","[-45.10000000000004, 119.99999999999999, 117.10000000000001, -62.99999999999999]",42,5,7.105427357601002e-14,0.00014475
sphere3D_-48.3_-35.7_56.0_80.0_9.csv,47,9,"[-48.3, -35.7, 56.0, 80.0]","[-48.29999999999988, -35.7, 55.99999999999999, -80.00000000000014]",57,5,2.6290081223123707e-13,0.00021065
sphere3D_-50.2_99.8_-108.5_62.0_6.csv,30,6,"[-50.2, 99.8, -108.5, 62.0]","[-50.199999999999505, 99.79999999999998, -108.4999999999999, -62.000000000000675]",40,5,1.2860823517257813e-12,0.000128
