1,2,3,4,5
line3d_-0.2_6.4_-4.0_0.csv,155,0,[0.7158378102129783 -0.6977868885632726; 0.38581789891491747 0.3643651613666615; 0.5819972322497475 0.6167102134158582; 1.8960292901692481 10.58400446065086; 0.0 0.0],line
line3d_-0.4_-0.3_4.3_0.csv,217,0,[0.5751952628521416 -0.8127900371483998; -0.8180100470086352 -0.571080539130791; -0.0031579400542040732 -0.11506247580505022; 3.600991741884424 8.094637496099676; 0.0 0.0],line
line3d_-0.4_1.6_3.6_0.csv,137,0,[0.9832646718525704 -0.15117679666426717; -0.0981631768700425 -0.9097450957284451; 0.15347500054874733 0.3866645017949963; 2.3363810573134973 3.2000165895481443; 0.0 0.0],line
line3d_-0.5_-2.1_-8.3_0.csv,37,0,[0.46342569532779754 0.8842165146153314; -0.8652443163676303 0.43732048791179157; 0.19128224670224775 -0.16404860905874188; -3.117870035216515 4.576116435728089; 0.0 0.0],line
line3d_-0.5_9.1_-7.4_0.csv,276,0,[0.9062857464987824 -0.42053226592440823; 0.2953662843573653 0.5583565753573839; 0.30233243914285585 0.7151157585116249; -1.037672476487133 15.37868719598726; 0.0 0.0],line
line3d_-0.8_0.3_-7.2_0.csv,110,0,[0.9234103333107924 0.36757636608574573; -0.3652858603542801 0.9299901189993273; -0.11781169958915087 -0.0024481950115844216; 2.9987909058833138 2.6511172048124236; 0.0 0.0],line
line3d_-0.8_2.4_0.8_0.csv,218,0,[-0.4568246748818865 0.8364884552971367; -0.4143394853102217 0.10098072814496446; 0.7871683475165394 0.538599996934574; -8.740135171100569 0.2465726443462497; 0.0 0.0],line
line3d_-0.9_0.1_-8.6_0.csv,167,0,[0.9548721954642034 0.2781880698125757; -0.27850771422108833 0.9603622062515837; -0.10321115951638617 -0.017771623942228646; 1.023096538518173 -4.5002739690418; 0.0 0.0],line
line3d_-1.0_-1.0_-2.3_0.csv,253,0,[0.9289849537968076 -0.01230883148625328; -0.15981652855990724 -0.9148110883852123; -0.33383473878283487 0.40369439584282857; -10.490017583563938 -2.7072520223246515; 0.0 0.0],line
line3d_-1.0_-2.0_9.0_0.csv,245,0,[0.06637639516197524 0.9919416936497929; -0.9755129088624296 0.04178474689814515; -0.20968724045125536 0.11960648530007993; 3.6363645009317453 4.3319715343908864; 0.0 0.0],line
line3d_-1.0_1.0_-3.4_0.csv,56,0,[0.8266212646614518 0.492598609150933; 0.5571171946630502 -0.7846052415682708; -0.0794840626809859 -0.37648535850171017; 1.414743537536907 -4.813497377165135; 0.0 0.0],line
line3d_-1.5_-3.4_-2.9_0.csv,290,0,[0.7622955709872247 0.5635940968026942; -0.5804891469648653 0.3778933781471163; 0.2862478169510891 -0.7345463149466587; -2.6620519531231635 2.916490318710591; 0.0 0.0],line
line3d_-1.6_-8.6_-1.2_0.csv,262,0,[0.8777811608365587 -0.44345031374032107; -0.22255198835968154 -0.04242554089412369; 0.4242297091878122 0.8952943050882498; -0.3257460382214072 1.9423461300039486; 0.0 0.0],line
line3d_-1.7_5.7_0.9_0.csv,112,0,[0.6822486939123078 0.6745100803767919; 0.08834970878335288 0.3069401552867405; 0.7257623912912868 -0.6714342056692116; -11.11540411232802 -0.43736680946867645; 0.0 0.0],line
line3d_-1.9_-9.5_8.5_0.csv,119,0,[-0.11438054401533695 0.9824595459245443; 0.6751012418475704 -0.03188882548085609; 0.7288040919250003 0.1837289945305032; -10.539731603643858 1.5300080200734258; 0.0 0.0],line
line3d_-10.0_0.0_4.6_0.csv,236,0,[0.27760233562806236 -0.31262461710326217; -0.7478650052367561 -0.6638508322594059; 0.6030214566630869 -0.6793879019305046; -2.9362111581142063 3.871502990374759; 0.0 0.0],line
line3d_-10.0_0.4_-4.7_0.csv,35,0,[-0.42456944168309496 -0.03698459601497872; -0.16395035073167602 0.9857877670102203; 0.8904274657061435 0.1638737870149241; 0.7907474595498769 0.7558858865370994; 0.0 0.0],line
line3d_-10.0_1.4_10.0_0.csv,50,0,[0.6734308491248149 0.2267738266625109; -0.2233038451493088 0.9697269919366045; 0.7047171660947137 0.09057147812874489; 0.46308429792221695 10.60278021461777; 0.0 0.0],line
line3d_-2.1_4.9_-7.0_0.csv,96,0,[0.27461542592828186 0.9313731052090723; -0.7467815896457214 0.363172545406774; -0.605725701294272 -0.025491982189998205; 3.3054617231786025 9.831940826046699; 0.0 0.0],line
line3d_-2.2_0.9_-3.2_0.csv,185,0,[-0.11947607356327095 0.8255593060276502; 0.9314429990059662 0.2855142271106684; 0.3437141362363153 -0.48675811071675285; 6.3883872756109135 0.18188458808573493; 0.0 0.0],line
line3d_-2.3_-4.1_-5.4_0.csv,179,0,[-0.6386551398702218 0.69905168570277; -0.45653881492099935 -0.6806909043455083; 0.6194287067838209 0.21905851605771823; 3.9526422213035275 -2.7681413066938325; 0.0 0.0],line
line3d_-2.4_-0.4_1.0_0.csv,69,0,[0.3179496352862936 0.25446744330521287; 0.3068506627391651 -0.9390807794043748; 0.897078982140284 0.23102729287030221; 5.29705941135826 11.321491960328002; 0.0 0.0],line
line3d_-2.4_-5.1_-0.1_0.csv,211,0,[0.8659414096258375 -0.2625507169362565; -0.41280531050581093 0.10535023747773845; 0.28237785096111634 0.9591498571650011; -0.34969208598919077 -5.71758647290132; 0.0 0.0],line
line3d_-2.7_0.7_-1.4_0.csv,238,0,[-0.20204658510036066 0.4576195308522602; 0.6615298880133378 0.7157165776080283; 0.7221879150985174 -0.5275738294491193; 6.724463647772291 -10.422366157705557; 0.0 0.0],line
